headword,infinitive,preterite,past_participle,classification,notes
sounden,sounden,,ysounded(1),weak,classified by computer (CHECK)
sounen,sounen,"souned(1), sowned(1)",,weak,classified by morphological evidence
sparen,sparen,,"spared(2), yspared(1)",weak,classified by morphological evidence
speden,speden,spedde(18),"sped(4), spedde(1)",weak,No evidence dn not in lists
speken,speken,"spak(110), spake(6)","spoken(13), spoke(6)",strong,known strong verb
spenden,spenden,spente(3),"spent(3), spended(1)",weak,classified by morphological evidence
speuen,speuen,,spouted(1),weak,classified by computer (CHECK)
spien,spien,spied(1),,weak,Seams weak
spillen,spillen,,spilt(6),weak,classified by morphological evidence
spinnen,spinnen,"span(1), sponne(1)",,strong,classified by computer (CHECK)
spotten,spotten,,spotted(1),weak,classified by morphological evidence
spousen,spousen,,spoused(1),weak,classified by morphological evidence
spreden,spreden,spradde(3),sprad(3),weak,Not in lists
sprengen,sprengen,,spreind(1),weak,classified by morphological evidence
springen,springen,"sprong(2), sprang(1)","spronge(3), yspronge(1)",strong,known strong verb
spurnen,spurnen,sporned(1),,weak,classified by morphological evidence
stablishen,stablishen,,stablissed(1),weak,classified by morphological evidence
stalken,stalken,stalked(2),,weak,classified by morphological evidence
stelen,stelen,"stal(11), stale(2), staale(1)","stole(4), stolen(2), stoln(2)",strong,known strong verb
stemen,stemen,stemed(1),,weak,classified by morphological evidence
steppen,steppen,,stapen(1),strong,known strong verb
steren,steren,,stered(1),weak,classified by computer (CHECK)
sterten,sterten,"sterte(31), stirte(4), stirt(1), stert(1)","ystert(1), stirt(1), stert(1)",weak,not in lists
sterven,sterven,starf(11),,strong,known strong verb
stiken,stiken,"stiked(3), stikked(1), stak(1)","stiked(2), ystiked(1)",weak,classified by morphological evidence
stingen,stingen,,stongen(1),strong,known strong verb
stinken,stinken,stank(2),,strong,In lists
stinten,stinten,"stente(15), stinte(4), stent(2)","stint(1), stent(1), stinted(1)",weak,Not in lists
stiren,stiren,stired(1),,weak,classified by morphological evidence
stonden,stonden,"stood(82), stoode(4), stod(2), stode(1)",stonden(3),strong,known strong verb
stoppen,stoppen,,stopped(2),weak,classified by morphological evidence
strecchen,strecchen,streighte(1),,weak,classified by computer (CHECK)
strepen,strepen,,strepen(1),strong,"Not in lists, but seems strong"
striven,striven,"stroof(1), strof(1)",,strong,known strong verb
strouten,strouten,strouted(1),,weak,classified by morphological evidence
submitten,submitten,,submitted(1),weak,classified by computer (CHECK)
sufferen,sufferen,suffred(3),"suffred(7), ysuffred(1)",weak,classified by morphological evidence
suffisen,suffisen,,suffised(2),weak,classified by morphological evidence
suffren,suffren,,suffrede(1),strong,classified by computer (CHECK)
sugren,sugren,,sucred(1),weak,classified by morphological evidence
supposen,supposen,supposed(1),supposed(4),weak,classified by morphological evidence
surmounten,surmounten,,surmountede(1),weak,Def weak
swappen,swappen,swapte(2),,weak,classified by morphological evidence
swellen,swellen,swal(2),,strong,known strong verb
swelten,swelten,swelte(2),,strong,known strong verb
swepen,swepen,,ysweped(1),weak,classified by morphological evidence
sweren,sweren,"swoor(23), swor(7), swore(3), swer(1)","sworn(24), ysworn(6), yswore(2), swore(2), sworen(1)",strong,known strong verb
sweten,sweten,swatte(1),,weak,"Program failed here, pretty sure its weak"
swinken,swinken,,"yswonke(1), swonken(1)",strong,known strong verb
swiven,swiven,swived(1),swived(3),weak,Y is spelling variation
swounen,swounen,"swowned(5), swouned(1)",swowned(1),weak,classified by morphological evidence
taken,taken,"took(146), toke(10), tok(5), tooke(4)","take(26), taken(10), ytake(1)",strong,known strong verb
tarien,tarien,taried(2),taried(3),weak,classified by morphological evidence (check!)
tasten,tasten,tasted(1),,weak,classified by morphological evidence
techen,techen,"taughte(12), taught(1)",taught(11),weak,Not in lists
teien,teien,,yteid(1),weak,classified by morphological evidence
tellen,tellen,"tolde(105), told(6)","told(65), tolde(6), ytold(1), ytolde(1), tald(1)",weak,Not in lists
tempren,tempren,tempred(1),tempred(1),weak,classified by morphological evidence
tempten,tempten,,tempted(1),weak,classified by morphological evidence
teren,teren,,torn(2),weak,classified by computer (CHECK)
thakken,thakken,,thakked(1),weak,classified by morphological evidence
thanken,thanken,"thanked(7), thonked(7)","thanked(11), ythonked(2), thonked(1), ythanked(1)",weak,O is spelling variation
thinken,thinken,"thoughte(135), thoghte(41), thought(12), thoght(11)",thought(1),weak,"Never appears in inf I think, so weak"
thirlen,thirlen,,thirled(3),weak,classified by morphological evidence
thirsten,thirsten,thursted(1),,weak,classified by morphological evidence
tholen,tholen,,tholed(1),weak,classified by computer (CHECK)
thresten,thresten,"threste(2), thraste(1), thriste(1)",,weak,classified by computer (CHECK)
thringen,thringen,throng(2),,strong,classified by computer (CHECK)
throuen,throuen,threw(3),"ythrowe(3), throwe(1), throwen(1)",strong,known strong verb
thurven,thurven,dorste(1),,weak,classified by morphological evidence
tiden,tiden,,tid(4),weak,classified by morphological evidence
tikelen,tikelen,tikled(1),,weak,classified by morphological evidence
tirven,tirven,,terved(1),weak,classified by morphological evidence
to-shiveren,to-shiveren,,toshivered(1),weak,classified by computer (CHECK)
tobreken,tobreken,,tobroke(1),strong,classified by computer (CHECK)
tobresten,tobresten,,tobrosten(1),strong,"This not in lists, but seems strong + atbresten is in lists"
todashen,todashen,,todasshed(1),weak,classified by morphological evidence
toheuen,toheuen,,"tohewe(2), tohewen(1)",strong,"this not in lists, but seems strong + hewen in lists"
torenden,torenden,torente(3),torent(3),weak,classified by morphological evidence
tormenten,tormenten,,tormented(2),weak,classified by computer (CHECK)
toscateren,toscateren,,toscatered(1),weak,classified by computer (CHECK)
toshaken,toshaken,,toshake(1),strong,classified by computer (CHECK)
toteren,toteren,totar(1),,strong,classified by computer (CHECK)
touchen,touchen,"touched(2), touchede(1)",touched(1),weak,classified by morphological evidence
traien,traien,trayed(2),,weak,classified by computer (CHECK)
translaten,translaten,,translated(3),weak,classified by morphological evidence
transmeuen,transmeuen,,transmuwed(1),weak,classified by morphological evidence
treden,treden,trad(1),troden(1),strong,known strong verb
trompen,trompen,tromped(1),,weak,classified by morphological evidence
trouen,trouen,trowed(2),trowed(4),weak,classified by morphological evidence
trussen,trussen,,trussed(1),weak,classified by morphological evidence
trusten,trusten,trusted(4),trusted(1),weak,classified by morphological evidence
tuken,tuken,,tukked(1),weak,classified by morphological evidence
turnen,turnen,"torned(3), turned(2), turnede(1), tornede(1)","turned(16), yturned(1), tourned(1), torned(1)",weak,Certainly weak
twicchen,twicchen,twighte(1),twight(2),weak,classified by morphological evidence
twinnen,twinnen,,"twinned(2), ytwinned(1)",weak,classified by morphological evidence (check!)
twisten,twisten,twiste(3),twist(1),weak,classified by morphological evidence
umbreiden,umbreiden,umbreide(1),,weak,classified by computer (CHECK)
unarmen,unarmen,,unarmed(1),weak,classified by morphological evidence
unbinden,unbinden,,unbounden(1),strong,classified by computer (CHECK)
unbirien,unbirien,,unburied(1),weak,classified by morphological evidence
unclosen,unclosen,,unclosed(1),weak,classified by computer (CHECK)
undernimen,undernimen,undernom(1),,strong,classified by computer (CHECK)
underpicchen,underpicchen,underpighte(1),,weak,classified by computer (CHECK)
understonden,understonden,"understood(5), understode(2), understoode(1)","understonde(9), understond(1)",strong,known strong verb
undertaken,undertaken,undertook(1),,strong,classified by computer (CHECK)
undon,undon,undide(1),,strong / irregular,"Don is generally irregular, but this form seems strong"
unhorsen,unhorsen,,unhorsed(1),weak,classified by morphological evidence
unknouen,unknouen,,"unknowen(3), unknowe(3)",strong,Not in lists but knowen is strong
upcasten,upcasten,upcaste(1),,weak,classified by computer (CHECK)
updrauen,updrauen,updrow(1),,strong,classified by computer (CHECK)
upheven,upheven,uphaf(1),,strong,classified by computer (CHECK)
upreisen,upreisen,,upreised(1),weak,classified by computer (CHECK)
uprennen,uprennen,,upronne(1),strong,classified by computer (CHECK)
upsterten,upsterten,"upstirte(2), upsterte(2)",,weak,classified by computer (CHECK)
uptaken,uptaken,,uptaken(1),strong,classified by computer (CHECK)
upyelden,upyelden,,upyolden(1),strong,classified by computer (CHECK)
usen,usen,used(4),used(4),weak,classified by morphological evidence
vanishen,vanishen,"vanisshed(2), vanished(1)",vanisshed(1),weak,classified by morphological evidence
venquishen,venquishen,,venquisshed(3),weak,classified by morphological evidence
vernishen,vernishen,,vernisshed(1),weak,classified by morphological evidence
visiten,visiten,visited(1),,weak,classified by morphological evidence
vitailen,vitailen,vitailled(1),vitailled(1),weak,classified by morphological evidence
voiden,voiden,,"voided(5), yvoided(1)",weak,classified by morphological evidence
vouchen,vouchen,vouched(2),,weak,classified by computer (CHECK)
waiten,waiten,"waited(3), waitede(1)",,weak,classified by morphological evidence
waken,waken,"wook(9), awook(1)",waked(3),strong,known strong verb
waknen,waknen,,wakned(1),weak,classified by morphological evidence
walken,walken,"welk(3), walked(3)",walked(4),strong,known strong verb (check!)
warishen,warishen,,"warisshed(3), warished(1)",weak,classified by morphological evidence
warnen,warnen,warned(3),"warned(6), ywarned(1)",weak,classified by morphological evidence (check!)
washen,washen,"wesh(2), wessh(1)",wasshen(1),strong,known strong verb
wasten,wasten,,wasted(5),weak,classified by morphological evidence
waxen,waxen,"wex(45), wax(2), weex(1), waxe(1), wexe(1)","woxen(6), waxen(5), woxe(2), wexe(1)",strong,known strong verb (check!)
wedden,wedden,"wedded(3), weddede(1)","wedded(31), ywedded(6), wedde(1), have(1)",weak,classified by morphological evidence
weien,weien,weied(1),,weak,classified by morphological evidence (check!)
weilen,weilen,wailed(2),,strong,"Wallen in list, I think this is same"
welcomen,welcomen,welcomed(1),,weak,classified by morphological evidence
welden,welden,"welte(1), welded(1)",,weak,classified by morphological evidence
wenden,wenden,"wente(156), went(17), chambre(1)",went(13),weak,classified by morphological evidence
wenen,wenen,"wende(40), wend(5)","wend(4), ywent(1)",weak,classified by morphological evidence (check!)
wepen,wepen,"weep(25), wepte(8), wept(3), weepe(1)","wept(3), wopen(2), wepen(1)",strong,known strong verb
weren,weren,"wered(8), werede(1)",wered(3),strong,known strong verb (check!)
werken,werken,"wroghte(17), wroughte(7), wrouhte(1), hem(1)","wroght(20), wrought(7), wroughte(1), ywrought(1)",weak,Never appears in inf I think
wernen,wernen,werned(1),,weak,classified by morphological evidence
werreien,werreien,werreyed(1),werreied(1),weak,classified by morphological evidence
weten,weten,wette(1),ywet(1),weak,classified by morphological evidence
weven,weven,waf(1),ywoven(1),strong,classified by computer (CHECK)
whetten,whetten,,whette(1),strong,classified by computer (CHECK)
willen,willen,"wolde(447), wold(56)",wold(1),irregular,Known irregular
wilnen,wilnen,wilned(2),,weak,classified by morphological evidence
winden,winden,wond(1),,weak,classified by computer (CHECK)
winnen,winnen,"wan(18), wanne(1)","wonne(16), wonnen(3)",strong,known strong verb
wipen,wipen,wiped(3),,weak,Y is spelling variation
witen,witen,"wiste(83), wist(5), woot(2), man(1), wote(1)",wist(21),weak,Seams weak
withdrauen,withdrauen,,withdrawe(1),strong,classified by computer (CHECK)
withholden,withholden,,"withholde(2), withholden(1)",strong,classified by computer (CHECK)
withseien,withseien,withseide(1),,weak,classified by computer (CHECK)
withstonden,withstonden,"withstood(1), withstode(1)",withstonde(3),TODO,classified by computer (CHECK)
wlispen,wlispen,lipsed(1),,weak,classified by morphological evidence
wondren,wondren,wondred(3),wondred(2),weak,classified by morphological evidence
wonen,wonen,woned(2),"wont(50), woned(6)",weak,classified by morphological evidence (check!)
wouen,wouen,wowed(1),,weak,classified by computer (CHECK)
wounden,wounden,,wounded(7),weak,classified by morphological evidence
wrappen,wrappen,,wrapped(2),weak,classified by morphological evidence
wratthen,wratthen,,wrathed(1),weak,classified by morphological evidence
wreken,wreken,wrak(1),"wreke(2), wroken(2), wreken(1), ywroke(1)",strong,known strong verb
wrien,wrien,"wreigh(1), wryed(1)","ywrie(2), wrie(1), ywryen(1)",strong,I think this is in lists
wringen,wringen,wrong(5),,strong,known strong verb
writen,writen,"wroot(27), wrot(3), wrote(2)","writen(18), ywriten(6), write(4), written(1), ywrite(1)",strong,known strong verb
yeden,yeden,yede(3),,weak,classified by computer (CHECK)
yelden,yelden,,"yolde(1), yolden(1)",strong,Seems strong even though not in list
yeven,yeven,"yaf(78), gaf(2), yave(1)","yeven(17), yeve(7), yive(7), yiven(5), yyeve(1), iyive(1)",strong,known strong verb
yicchen,yicchen,,icched(1),weak,classified by morphological evidence
