headword,word,line_number,filename,context,is_elided,is_final,source_csv
west,west,The Clerk's Prologue 46,data/oxford_txts/ClPro_oxford.txt,That been the boundes of West Lumbardie,False,False,ClPro_gui_complete.csv
sori,sory,The Shipman's Tale 117,data/oxford_txts/ShipT_oxford.txt,That lasse lust° hath to that sory pley.°,False,False,ShipT_gui_complete.csv
derk,derkest,The Wife of Bath's Tale 1139,data/oxford_txts/WBT_oxford.txt,"¶“ ‘Taak fir,° and ber it in the derkest hous",False,False,WBT_gui_complete.csv
god,good,The Merchant's Prologue 1233,data/oxford_txts/MerPro_oxford.txt,¶A! good sir Hoost! I have ywedded be°,False,False,MerPro_gui_complete.csv
hevi,hevy,100-ch 885,data/oxford_txts/LGW_oxford.txt,On her he caste° his hevy deedly yën,False,False,LGW_gui_complete.csv
chef,cheef,100-ch 937,data/oxford_txts/LGW_oxford.txt,That of the citee was the cheef dungeoun;°,False,False,LGW_gui_complete.csv
right,right,100-ch 942,data/oxford_txts/LGW_oxford.txt,"That was his sone,° in his right hand, and fledde;",False,False,LGW_gui_complete.csv
fair,fairest,100-ch 974,data/oxford_txts/LGW_oxford.txt,But she was yit° the fairest creature,False,False,LGW_gui_complete.csv
leste,lest,100-ch 1313,data/oxford_txts/LGW_oxford.txt,"His thral,° his servant in the lest° degree;",False,False,LGW_gui_complete.csv
treu,trew,100-ch 1686,data/oxford_txts/LGW_oxford.txt,"The verray wif, the verray trew° Lucresse",False,False,LGW_gui_complete.csv
gret,grettest,100-ch 2053,data/oxford_txts/LGW_oxford.txt,Oon of the grettest men of my contree.,False,False,LGW_gui_complete.csv
gret,gretter,100-ch 2213,data/oxford_txts/LGW_oxford.txt,Wher is thy gretter part away ygoon?,False,False,LGW_gui_complete.csv
bet,bet,Troilus and Criseyde; Book II 128,data/oxford_txts/TC2_oxford.txt,"What? bet than swiche five? Ey, nay, ywis!",False,False,TC2_gui_complete.csv
sori,sory,Troilus and Criseyde; Book II 464,data/oxford_txts/TC2_oxford.txt,“A! Lord! what me is tid a sory chaunce!,False,False,TC2_gui_complete.csv
werse,wers,Troilus and Criseyde; Book II 865,data/oxford_txts/TC2_oxford.txt,"Or love the wers, though wrecches on it cryen?",False,False,TC2_gui_complete.csv
laste,last,Troilus and Criseyde; Book II 924,data/oxford_txts/TC2_oxford.txt,Til at the last the dede sleep hir hente.,False,False,TC2_gui_complete.csv
right,right,Troilus and Criseyde; Book II 1065,data/oxford_txts/TC2_oxford.txt,First he gan hir his right lady calle,False,False,TC2_gui_complete.csv
gret,grettest,Troilus and Criseyde; Book II 1143,data/oxford_txts/TC2_oxford.txt,"And seide, “Now is this the grettest wonder",False,False,TC2_gui_complete.csv
yonder,yonder,Troilus and Criseyde; Book II 1188,data/oxford_txts/TC2_oxford.txt,"The yonder hous, that stant aforyein us?”",False,False,TC2_gui_complete.csv
god,good,Troilus and Criseyde; Book II 1209,data/oxford_txts/TC2_oxford.txt,"Of his good wil, and doth him not to deie.",False,False,TC2_gui_complete.csv
wise,wisest,The Canon's Yeoman's Tale 967,data/oxford_txts/CYT_oxford.txt,"He that semeth the wisest, by Jhesus!",False,False,CYT_gui_complete.csv
fals,fals,The Canon's Yeoman's Tale 1073,data/oxford_txts/CYT_oxford.txt,God kepe us from his fals dissimulinge!°,False,False,CYT_gui_complete.csv
fals,fals,The Canon's Yeoman's Tale 1159,data/oxford_txts/CYT_oxford.txt,"This fals chanoun, the foule feend him fecche!°",False,False,CYT_gui_complete.csv
sori,sory,The Canon's Yeoman's Tale 1349,data/oxford_txts/CYT_oxford.txt,Than had this preest this sory° craft to lere;°,False,False,CYT_gui_complete.csv
graunt,grant,The Canon's Yeoman's Tale 1380,data/oxford_txts/CYT_oxford.txt,"Quod the chanoun, “and farwel, grant mercy!”",False,False,CYT_gui_complete.csv
prive,privy,The Canon's Yeoman's Tale 1452,data/oxford_txts/CYT_oxford.txt,“Tel me the name of the privy° stoon?”,False,False,CYT_gui_complete.csv
flouri,floury,The Legend of Good Women; Prologue F 174,data/oxford_txts/LGW_FPro_oxford.txt,As god and goddesse of the floury mede;°,False,False,LGW_FPro_gui_complete.csv
fresh,fresshest,The Legend of Good Women; Prologue F 229,data/oxford_txts/LGW_FPro_oxford.txt,The fresshest sin° the world was first bigonne.,False,False,LGW_FPro_gui_complete.csv
ouen,owen,The Legend of Good Women; Prologue F 399,data/oxford_txts/LGW_FPro_oxford.txt,And ever have reward° to his owen degree.°,False,False,LGW_FPro_gui_complete.csv
north,north,The Friar's Tale 1413,data/oxford_txts/FriT_oxford.txt,"‘Brother,’ quod he, ‘fer in the north contree",False,False,FriT_gui_complete.csv
swete,sweet,The Friar's Tale 1613,data/oxford_txts/FriT_oxford.txt,"¶“ ‘Pay me,’ quod he, ‘or by the sweet Seinte Anne",False,False,FriT_gui_complete.csv
crisp,crisp,The Wife of Bath's Prologue 304,data/oxford_txts/WBPro_oxford.txt,"For his crisp° heer, shininge as gold so fin",False,False,WBPro_gui_complete.csv
blind,blind,The Wife of Bath's Prologue 656,data/oxford_txts/WBPro_oxford.txt,"And priketh° his blind hors over the falwes,°",False,False,WBPro_gui_complete.csv
gret,gret,The Squire's Tale 469,data/oxford_txts/SqT_oxford.txt,As wisly helpe me gret God of kinde!°,False,False,SqT_gui_complete.csv
heigh,heigh,Troilus and Criseyde; Book III 516,data/oxford_txts/TC3_oxford.txt,Wheras at leiser al this heigh matere,False,False,TC3_gui_complete.csv
prive,priv,Troilus and Criseyde; Book III 921,data/oxford_txts/TC3_oxford.txt,"His privé coming, and the siker place",False,False,TC3_gui_complete.csv
bet,bet,Troilus and Criseyde; Book III 1223,data/oxford_txts/TC3_oxford.txt,"Now is this bet, than bothe two be lorn!",False,False,TC3_gui_complete.csv
bright,bright,Troilus and Criseyde; Book III 1453,data/oxford_txts/TC3_oxford.txt,For every bore hath oon of thy bright yën!,False,False,TC3_gui_complete.csv
ouen,owen,Troilus and Criseyde; Book III 1485,data/oxford_txts/TC3_oxford.txt,"“But nathelees, min owen lady bright",False,False,TC3_gui_complete.csv
real,real,Troilus and Criseyde; Book III 1534,data/oxford_txts/TC3_oxford.txt,"Retorned to his real palais, sone",False,False,TC3_gui_complete.csv
werste,worst,Troilus and Criseyde; Book III 1626,data/oxford_txts/TC3_oxford.txt,The worst kinde of infortune is this,False,False,TC3_gui_complete.csv
yong,yongest,The Merchant's Tale 1559,data/oxford_txts/MerT_oxford.txt,The yongest man that is in al this route°,False,False,MerT_gui_complete.csv
ful,ful,The Merchant's Tale 2066,data/oxford_txts/MerT_oxford.txt,That haddest him for thy ful frend received?,False,False,MerT_gui_complete.csv
red,red,Sir Thopas 747,data/oxford_txts/Thop_oxford.txt,    That bereth the red hepe.°,False,False,Thop_gui_complete.csv
fair,fair,Sir Thopas 832,data/oxford_txts/Thop_oxford.txt,    And thurgh his fair beringe.°,False,False,Thop_gui_complete.csv
hevi,hevy,The Franklin's Tale 822,data/oxford_txts/FranT_oxford.txt,"Hir frendes, which that° knewe hir hevy° thoght",False,False,FranT_gui_complete.csv
wise,wis,The Franklin's Tale 871,data/oxford_txts/FranT_oxford.txt,"Of swich a parfit wis God and a stable,°",False,False,FranT_gui_complete.csv
ouen,own,The Franklin's Tale 880,data/oxford_txts/FranT_oxford.txt,That thou it madest lik to thin own merk.°,False,False,FranT_gui_complete.csv
heigh,heigh,The Franklin's Tale 989,data/oxford_txts/FranT_oxford.txt,"¶“Aurelie,” quod she, “by heigh God above",False,False,FranT_gui_complete.csv
heigh,hyest,The Franklin's Tale 1061,data/oxford_txts/FranT_oxford.txt,The hyest rokke in Armorik Briteine;,False,False,FranT_gui_complete.csv
ouen,own,The Franklin's Tale 1093,data/oxford_txts/FranT_oxford.txt,"That loveth thee, as his own hertes lif.",False,False,FranT_gui_complete.csv
