headword,infinitive,preterite,past_participle,classification,notes
concluden,concluden,,concluded(1),weak,classified by morphological evidence
condescenden,condescenden,,condescended(1),weak,classified by computer (CHECK)
confermen,confermen,,confermed(1),weak,classified by morphological evidence
confounden,confounden,,confounded(1),weak,classified by morphological evidence
connen,connen,"coude(186), coud(22), couthe(8), couth(1)","ykoude(1), coud(1)",irregular,Known irregular
conqueren,conqueren,conquered(3),conquered(1),weak,classified by morphological evidence
consecraten,consecraten,,consecrat(1),weak,classified by computer (CHECK)
conserven,conserven,,conserved(1),weak,classified by morphological evidence
consideren,consideren,considered(1),considered(5),weak,classified by morphological evidence
conspiren,conspiren,,conspired(1),weak,classified by computer (CHECK)
constreinen,constreinen,constreined(1),constreined(4),weak,classified by morphological evidence
consumen,consumen,,consumed(1),weak,classified by morphological evidence
contrarien,contrarien,contraried(1),,weak,classified by morphological evidence
conveien,conveien,"conveied(1), conveyed(1)",,weak,classified by morphological evidence
converten,converten,converted(2),converted(5),weak,classified by morphological evidence
convicten,convicten,,convict(1),weak,classified by computer (CHECK)
corounen,corounen,,"corouned(3), crouned(3), crowned(2), ycorouned(1), ycoroned(1)",weak,classified by morphological evidence (check!)
correcten,correcten,,corrected(2),weak,classified by morphological evidence
corrupten,corrupten,,corrupt(1),weak,classified by morphological evidence
costen,costen,"coste(3), cost(1)",,weak,classified by morphological evidence
couchen,couchen,couched(3),couched(3),weak,classified by morphological evidence
counten,counten,counted(1),,weak,classified by morphological evidence
countrefeten,countrefeten,countrefeted(1),countrefeted(2),weak,classified by morphological evidence
countrepleten,countrepleten,,countrepleted(1),weak,classified by computer (CHECK)
couplen,couplen,,ycoupled(1),weak,classified by morphological evidence
coveren,coveren,covered(5),"covered(1), kevered(1)",weak,classified by morphological evidence (check!)
crampishen,crampishen,,crampisshed(1),weak,classified by computer (CHECK)
crasen,crasen,,crased(1),weak,classified by computer (CHECK)
creauncen,creauncen,,creaunced(1),weak,classified by morphological evidence
crepen,crepen,"crepte(2), creep(2), crept(1)","cropen(2), crope(1)",strong,known strong verb
crien,crien,"cride(20), cried(9), criede(1)",cried(4),weak,Not in s.e.e. list
cristnen,cristnen,"cristened(1), cristned(1)","cristned(2), ycristned(1)",weak,classified by morphological evidence
crouchen,crouchen,,crouched(1),weak,classified by computer (CHECK)
crouen,crouen,crew(3),"ycrowe(1), crowe(1)",strong,known strong verb
curen,curen,,cured(1),weak,classified by morphological evidence (check!)
cursen,cursen,cursed(2),,weak,classified by computer (CHECK)
cutten,cutten,"kitte(3), cut(1)","cut(2), cutted(1)",weak,classified by morphological evidence (check!)
dampnen,dampnen,dampned(2),"dampned(10), damned(1)",weak,classified by morphological evidence
dauen,dauen,,dawed(1),weak,classified by computer (CHECK)
dauncen,dauncen,daunced(3),,weak,classified by morphological evidence
daunten,daunten,daunted(1),daunted(1),weak,classified by morphological evidence
deceiven,deceiven,,deceived(7),weak,classified by morphological evidence
declaren,declaren,declared(1),declared(3),weak,classified by morphological evidence
defacen,defacen,,defaced(1),weak,classified by morphological evidence
defenden,defenden,defended(2),,weak,classified by morphological evidence
defoulen,defoulen,,defouled(5),weak,classified by morphological evidence
deien,deien,dyed(1),diyd(1),weak,classified by morphological evidence
deinen,deinen,"deigned(1), deined(1)",deined(3),weak,classified by morphological evidence (check!)
delen,delen,"deled(1), delte(1)",deled(1),weak,classified by morphological evidence
deliberen,deliberen,,delibered(1),weak,classified by morphological evidence
deliten,deliten,delited(1),,weak,classified by morphological evidence
deliveren,deliveren,delivered(1),delivered(3),weak,classified by morphological evidence
delven,delven,,dolven(1),strong,known strong verb
demen,demen,"demed(6), demede(1)",demed(1),weak,classified by morphological evidence
departen,departen,departed(2),departed(10),weak,classified by morphological evidence
depeinten,depeinten,,"depeinted(5), depeint(2)",weak,classified by morphological evidence
deriven,deriven,,derived(1),weak,classified by morphological evidence
descenden,descenden,descended(1),descended(6),weak,classified by morphological evidence
descriven,descriven,,discrived(1),weak,classified by morphological evidence
deserven,deserven,deserved(1),deserved(9),weak,classified by morphological evidence
desiren,desiren,desired(2),,weak,classified by morphological evidence
despeiren,despeiren,,despeired(5),weak,classified by morphological evidence
destroien,destroien,destroyed(2),"destroyed(11), distroyed(1)",weak,classified by morphological evidence
devouren,devouren,,devoured(4),weak,classified by computer (CHECK)
dien,dien,"deide(24), dide(3), died(3), deied(2), dyed(1), deid(1)","died(1), deyed(1)",weak,not in list
dighten,dighten,dighte(4),"dight(5), dighte(1), ydight(1)",weak,classified by morphological evidence
disclaundren,disclaundren,,"disclaundred(1), desclaundred(1)",weak,classified by computer (CHECK)
discolouren,discolouren,,discoloured(1),weak,classified by computer (CHECK)
discoveren,discoveren,,discovered(1),weak,classified by morphological evidence
discussen,discussen,,discussed(1),weak,classified by morphological evidence
disesen,disesen,,disesed(1),weak,classified by computer (CHECK)
disfiguren,disfiguren,,disfigured(2),weak,classified by morphological evidence
disgisen,disgisen,,disgised(1),weak,classified by morphological evidence
disheriten,disheriten,,disherited(1),weak,classified by computer (CHECK)
disparagen,disparagen,,disparaged(1),weak,classified by morphological evidence
dispenden,dispenden,,despended(3),weak,classified by morphological evidence
displesen,displesen,,displesed(2),weak,classified by morphological evidence
disposen,disposen,disposed(1),disposed(5),weak,classified by morphological evidence
disputen,disputen,disputed(1),,weak,classified by morphological evidence
distourben,distourben,,disturbed(1),weak,classified by morphological evidence
distreinen,distreinen,destrained(1),distreined(1),weak,classified by computer (CHECK)
distroublen,distroublen,,destroubled(1),weak,classified by morphological evidence
dividen,dividen,,divided(1),weak,classified by morphological evidence
dokken,dokken,,dokked(1),weak,classified by morphological evidence
don,don,"dide(74), did(36)","doon(99), don(20), do(19), ydo(7), ydoon(5), done(3), ydon(3), doo(1)",strong / irregular,"Don is generally irregular, but this form seems strong"
drauen,drauen,"drow(7), drough(7), drogh(1), drew(1)","ydrawe(7), drawe(3), draw(1)",strong,Known strong verb (from skeat but not wiki)
drecchen,drecchen,,drecched(1),weak,classified by morphological evidence
dreden,dreden,"dradde(5), dredde(4)",,weak,not in list
dremen,dremen,dremed(4),,weak,classified by morphological evidence (check!)
drenchen,drenchen,"dreinte(2), dreint(1)","dreint(4), drenched(1), drent(1)",weak,not in list
dressen,dressen,"dressed(2), dressede(1)","dressed(3), ydressed(1)",weak,classified by morphological evidence
drien,drien,,dryed(1),weak,classified by computer (CHECK)
drinken,drinken,"drank(15), dronk(2)","dronken(6), dronke(5)",strong,known strong verb
driven,driven,"droof(6), drof(1)","driven(7), drive(5), ydriven(1)",strong,known strong verb
droppen,droppen,dropped(1),,weak,classified by computer (CHECK)
durren,durren,"dorste(49), durste(5), dorst(2), durst(2)",,weak,not in list
dusken,dusken,dusked(1),,weak,classified by morphological evidence
dwellen,dwellen,"dwelte(9), dwelled(6)","dwelt(2), dwelled(2)",weak,not in list
eilen,eilen,"eiled(2), eileth(1)",,weak,classified by morphological evidence
eken,eken,,eched(1),weak,classified by morphological evidence
embelishen,embelishen,embelisshed(1),,weak,classified by computer (CHECK)
embosen,embosen,,embosed(1),weak,classified by morphological evidence
embracen,embracen,,enbraced(1),weak,classified by morphological evidence
embrouden,embrouden,,"enbrouded(1), embrouded(1)",weak,classified by morphological evidence
empoisounen,empoisounen,,empoisoned(2),weak,classified by morphological evidence
emprenten,emprenten,,"emprented(2), enprented(1)",weak,classified by morphological evidence
enchaunten,enchaunten,,enchanted(1),weak,classified by morphological evidence
enclosen,enclosen,,enclosed(2),weak,classified by morphological evidence
encombren,encombren,,encombred(1),weak,classified by morphological evidence
encresen,encresen,encresed(1),encressed(2),weak,classified by morphological evidence
enden,enden,,ended(5),weak,classified by morphological evidence
enduren,enduren,endured(1),endured(2),weak,classified by morphological evidence
enfourmen,enfourmen,,enformed(1),weak,classified by morphological evidence
engendren,engendren,,engendred(4),weak,classified by morphological evidence
enginen,enginen,,engined(1),weak,classified by computer (CHECK)
enhabiten,enhabiten,,enhabit(1),weak,classified by morphological evidence
enhauncen,enhauncen,,"enhaunced(3), enhaunsed(1)",weak,classified by morphological evidence
enluminen,enluminen,enlumined(1),enlumined(1),weak,classified by computer (CHECK)
enointen,enointen,,anoint(1),weak,classified by computer (CHECK)
enqueren,enqueren,,enquered(1),weak,classified by computer (CHECK)
enselen,enselen,,enseled(1),weak,classified by computer (CHECK)
enspiren,enspiren,,inspired(1),weak,classified by morphological evidence (check!)
entenden,entenden,entended(1),,weak,classified by morphological evidence
enterchaungen,enterchaungen,,entrechaunged(1),weak,classified by morphological evidence
entitelen,entitelen,,entitled(1),weak,classified by morphological evidence
entren,entren,,entred(3),weak,classified by morphological evidence
envenimen,envenimen,,envenimed(1),weak,classified by morphological evidence
envolupen,envolupen,,envoluped(1),weak,classified by morphological evidence
escapen,escapen,escaped(1),escaped(3),weak,classified by morphological evidence
escheuen,escheuen,,eschewed(2),weak,classified by morphological evidence
esen,esen,,esed(7),weak,classified by morphological evidence
eten,eten,"eet(8), et(1)","eten(4), ete(1)",strong,known strong verb
exciten,exciten,excited(1),,weak,classified by morphological evidence
excusen,excusen,excused(1),excused(3),weak,classified by morphological evidence
executen,executen,,execut(1),weak,classified by morphological evidence
expounen,expounen,expouned(3),,weak,classified by morphological evidence
expressen,expressen,,expressed(1),weak,classified by computer (CHECK)
failen,failen,"failed(1), failled(1)",,weak,classified by morphological evidence
fallen,fallen,"fil(68), fel(16), fille(4), fill(2), felle(1)","falle(18), fallen(9), yfalle(4), yfallen(1)",strong,known strong verb
falsen,falsen,falsed(2),falsed(2),weak,classified by morphological evidence
faren,faren,"ferde(13), ferd(4)","fare(8), yfare(3), faren(3), ferd(2)",strong,known strong verb
farsen,farsen,,farsed(1),weak,classified by morphological evidence
fasten,fasten,"fasted(3), faste(1)",fast(1),weak,classified by morphological evidence (check!)
faunen,faunen,fauned(1),,weak,classified by morphological evidence (check!)
feden,feden,fedde(5),fed(1),weak,classified by morphological evidence
feffen,feffen,,feffed(1),weak,classified by morphological evidence
feinen,feinen,feined(8),"feined(5), fained(1), yfeined(1)",weak,classified by morphological evidence
felen,felen,"felte(34), felt(2), felede(1), feled(1)","felt(7), feled(1)",weak,classified by morphological evidence (check!)
fellen,fellen,,feld(1),weak,classified by morphological evidence
feteren,feteren,fettred(1),fetered(2),weak,classified by morphological evidence
fetheren,fetheren,fethered(1),,weak,classified by morphological evidence (check!)
fetten,fetten,fette(6),"fet(5), yfet(2)",weak,classified by morphological evidence
fighten,fighten,faught(5),foughten(1),strong,known strong verb
fillen,fillen,,"fild(1), filled(1)",weak,classified by morphological evidence
finden,finden,"fond(62), fonde(5), found(2), founde(2)","founde(29), founden(14)",strong,known strong verb
firen,firen,,yfired(1),weak,classified by computer (CHECK)
fishen,fishen,,fisshed(1),weak,classified by morphological evidence
fixen,fixen,,fix(1),weak,classified by computer (CHECK)
flateren,flateren,,yflatered(2),weak,classified by morphological evidence (check!)
flen,flen,"fledde(8), fled(3), fleigh(1)","fled(8), yfled(1), fledde(1)",weak,classified by morphological evidence (check!)
fleten,fleten,fleet(1),,weak,classified by computer (CHECK)
flien,flien,"fleigh(4), fley(1), flough(1)",,strong,known strong verb
flikeren,flikeren,flikered(1),,weak,classified by morphological evidence
flitten,flitten,,flitted(1),weak,classified by computer (CHECK)
flouren,flouren,floured(1),,weak,classified by morphological evidence (check!)
folen,folen,,foled(1),weak,classified by computer (CHECK)
folwen,folwen,"folwed(6), folwede(2), folewed(1)",yfolowed(1),weak,classified by morphological evidence
forbeden,forbeden,forbad(2),forbode(1),weak,not in list
forberen,forberen,forbar(2),,strong,known
fordon,fordon,fordide(1),"fordo(3), fordoon(2)",strong / irregular,"Don is generally irregular, but this form seems strong"
fore-witen,fore-witen,"forwoot(2), forwot(1)",,weak,classified by morphological evidence
forgon,forgon,foryede(1),forgon(1),weak / irregular,"Gon is generally irregular, but this form seems weak"
forlesen,forlesen,,"forlorn(2), forlore(2)",TODO,classified by computer (CHECK)
forleven,forleven,,forlaft(1),weak,classified by computer (CHECK)
formen,formen,formed(4),"yformed(3), formed(2)",weak,classified by morphological evidence
forsaken,forsaken,forsook(7),"forsake(1), forsaken(1)",strong,Known from skeat
forshapen,forshapen,,forshapen(1),strong,Shapen is strong
forsweren,forsweren,,"forsworn(3), forswore(2)",strong,known strong verb
forwrappen,forwrappen,,forwrapped(1),weak,classified by morphological evidence
foryeten,foryeten,"forgat(7), forgate(2), not(1), foryat(1)","forgeten(4), foryeten(3), forget(1), forgete(1)",strong,known strong verb
foryeven,foryeven,"foryaf(3), forgaf(1)","foryive(2), foryeven(1)",strong,Known strong verb
fostren,fostren,fostred(2),"fostred(6), yfostred(2)",weak,classified by morphological evidence
founden,founden,,founded(1),weak,classified by morphological evidence (check!)
foundren,foundren,foundred(1),,weak,classified by morphological evidence (check!)
frainen,frainen,,freined(1),weak,classified by computer (CHECK)
fraughten,fraughten,,fraught(1),weak,classified by computer (CHECK)
freten,freten,,"freten(2), frete(1)",strong,known strong verb (check!)
ful-fillen,ful-fillen,,"fulfild(9), fulfilled(1)",weak,classified by morphological evidence
furtheren,furtheren,,"forthred(1), furthered(1)",weak,classified by computer (CHECK)
gaderen,gaderen,"gadered(1), gadrede(1)",gadered(1),weak,classified by morphological evidence
gamen,gamen,gamed(1),,weak,classified by morphological evidence
gasen,gasen,gazed(1),,weak,classified by morphological evidence
geinen,geinen,gained(1),,weak,classified by computer (CHECK)
geten,geten,"gat(16), gete(1)","geten(6), gete(2), ygeten(1)",strong,known strong verb (check!)
giden,giden,,gided(1),weak,classified by morphological evidence
ginnen,ginnen,"gan(527), goon(1)",,Irregular / unclear,"Very stumped here, seems maybe irregular"
girden,girden,girt(1),,weak,classified by computer (CHECK)
gladen,gladen,"gladded(1), gladed(1), gladede(1)",gladed(1),weak,classified by morphological evidence
glasen,glasen,,yglased(1),weak,classified by computer (CHECK)
glenten,glenten,glente(1),,weak,classified by computer (CHECK)
gleuen,gleuen,,yglewed(1),weak,classified by computer (CHECK)
gliden,gliden,glood(2),gliden(1),TODO,classified by computer (CHECK)
gliteren,gliteren,glitered(1),,weak,classified by morphological evidence
glosen,glosen,,yglosed(1),weak,classified by computer (CHECK)
gon,gon,,"goon(38), gon(12), go(5), ygo(1), agoon(1), agon(1), gane(1), ygon(1)",Irregular verb,Known irregular
governen,governen,governed(2),governed(2),weak,classified by morphological evidence
graunten,graunten,"graunted(10), grauntede(1)","graunted(9), ygraunted(1)",weak,classified by morphological evidence
graven,graven,,"grave(4), ygrave(3)",strong,known strong verb (check!)
greten,greten,grette(11),,weak,classified by morphological evidence (check!)
greven,greven,greved(1),,weak,classified by morphological evidence
grinden,grinden,grinte(1),"ygrounde(2), grounden(1)",strong,known strong verb
gropen,gropen,groped(1),,weak,classified by morphological evidence
grouen,grouen,"growed(1), grew(1)","growe(1), growen(1), ygrowen(1)",strong,known strong verb
grounden,grounden,,grounded(1),weak,classified by morphological evidence
grunten,grunten,gronte(1),,weak,classified by computer (CHECK)
halouen,halouen,,yhalowed(1),weak,classified by morphological evidence
halwen,halwen,halwed(1),halwed(1),weak,classified by morphological evidence
hamelen,hamelen,,hameled(1),weak,classified by morphological evidence
happen,happen,"happed(17), happede(1)",,weak,classified by morphological evidence (check!)
harden,harden,,yharded(1),weak,classified by morphological evidence
harmen,harmen,,harmed(1),weak,classified by computer (CHECK)
haten,haten,hated(1),,weak,classified by morphological evidence
haven,haven,"hadde(367), had(336), hade(2), he(1), adde(1), not(1)","had(26), hadde(3)",weak,not in list
helen,helen,,"heled(5), heeled(1)",weak,classified by morphological evidence (check!)
helmen,helmen,,helmed(2),weak,classified by morphological evidence
helpen,helpen,"heelp(3), halp(1)","holpen(9), holpe(3)",strong,known strong verb
henten,henten,"hente(27), hent(1)",hent(7),weak,classified by morphological evidence
heren,heren,"herde(81), herd(9)","herd(85), herde(2)",weak,not in list
herien,herien,harwed(2),"heried(4), yheried(3), haried(1)",weak,Seems weak
herkenen,herkenen,herkned(3),herkned(1),weak,classified by morphological evidence
heten,heten,het(1),,strong,known
heven,heven,haf(1),,weak,Program failed due to spelling difference
hiden,hiden,hidde(5),"hid(10), hed(1), yhid(1)",weak,not in list
hien,hien,hyed(1),hyed(1),weak,classified by morphological evidence
hiren,hiren,,hired(1),weak,classified by computer (CHECK)
hitten,hitten,"hitte(2), hit(1)",hit(1),weak,classified by morphological evidence
holden,holden,"held(28), heeld(19), helde(3)","holde(19), holden(16), hold(2), halde(1)",strong,known strong verb
hongen,hongen,"heng(14), henge(2), heeng(1), honge(1)",hanged(4),strong,known strong verb
honouren,honouren,,honoured(9),weak,classified by morphological evidence
hoten,hoten,"highte(38), hight(12), hete(3)",hight(8),strong,known strong verb
hoven,hoven,hoved(1),,weak,classified by morphological evidence (check!)
hunten,hunten,hunted(2),hunted(3),weak,classified by morphological evidence
hurten,hurten,"hurte(2), hert(1), hurt(1)","hurt(10), yhurt(1)",weak,classified by morphological evidence
iben,iben,,"ybe(5), ybeen(1)",strong,classified by morphological evidence
iberen,iberen,,"ybore(6), yborn(5), yboren(2), born(1)",strong,classified by morphological evidence
ibringen,ibringen,,"ybroght(9), ybrought(6)",weak,classified by morphological evidence
ifinden,ifinden,,"yfounde(8), founde(1)",strong,classified by morphological evidence
igon,igon,,"ygon(4), ygo(4), ygoon(3), ago(1)",weak,classified by computer (CHECK)
igreten,igreten,,grette(1),weak,classified by morphological evidence
ihenten,ihenten,,yhent(2),weak,classified by computer (CHECK)
iholden,iholden,,"yholde(5), holden(1)",strong,classified by morphological evidence
ikepen,ikepen,,ykept(1),weak,classified by computer (CHECK)
ikissen,ikissen,,ykist(1),weak,classified by morphological evidence
iknitten,iknitten,,yknet(1),weak,classified by computer (CHECK)
iknouen,iknouen,,"yknowe(5), yknowen(4)",strong,known strong verb
ileden,ileden,,ylad(1),weak,classified by morphological evidence
ileien,ileien,,"yleid(3), ylaid(1)",weak,classified by morphological evidence
ileven,ileven,,ylaft(4),weak,classified by computer (CHECK)
imaginen,imaginen,imagined(1),ymagined(1),weak,not in list
imaken,imaken,,"ymaked(6), ymaad(4), ymad(1)",weak,classified by morphological evidence
imeten,imeten,,"ymet(2), ymette(1)",weak,classified by morphological evidence (check!)
in-knette,in-knette,inknette(1),,weak,classified by computer (CHECK)
infecten,infecten,,infect(1),weak,classified by computer (CHECK)
inimen,inimen,,ynome(3),strong,classified by computer (CHECK)
innen,innen,,inned(1),weak,classified by morphological evidence (check!)
ipassen,ipassen,,ypassed(1),weak,classified by morphological evidence
ipreien,ipreien,,yprayed(1),weak,classified by computer (CHECK)
ireden,ireden,,yred(1),weak,classified by morphological evidence
irennen,irennen,,"yronne(9), yronnen(1)",strong,classified by morphological evidence
isechen,isechen,,soght(1),weak,classified by computer (CHECK)
iseien,iseien,,"said(1), ysaid(1), ysaide(1)",TODO,classified by computer (CHECK)
isen,isen,,"ysene(6), yseyn(2), yseye(1)",strong,classified by morphological evidence
isenden,isenden,,"ysent(4), sent(1)",weak,classified by morphological evidence
isetten,isetten,,yset(4),weak,classified by morphological evidence
ishapen,ishapen,,"yshapen(4), yshape(2)",strong,classified by morphological evidence
ishenden,ishenden,,yshent(1),weak,classified by computer (CHECK)
isheuen,isheuen,,yshewed(1),weak,classified by morphological evidence
ishriven,ishriven,,yshrive(1),strong,classified by computer (CHECK)
isouen,isouen,,ysowe(1),strong,classified by morphological evidence
ispeden,ispeden,,ysped(1),weak,classified by computer (CHECK)
ispeken,ispeken,,"yspoke(1), yspoken(1)",strong,classified by morphological evidence
istinten,istinten,,ystint(1),weak,classified by computer (CHECK)
istonden,istonden,,ystonde(1),strong,classified by computer (CHECK)
iswounen,iswounen,,yswowned(1),weak,classified by computer (CHECK)
itaken,itaken,,"ytake(11), ytaken(1)",strong,classified by morphological evidence
itechen,itechen,,ytaught(3),weak,classified by morphological evidence
itellen,itellen,,ytold(4),weak,classified by computer (CHECK)
iturnen,iturnen,,yturned(2),weak,classified by morphological evidence
iwaxen,iwaxen,,"ywaxen(2), ywoxen(1), ywaxe(1)",strong,classified by morphological evidence
iwerken,iwerken,,"ywroght(3), wroght(1), ywroghte(1), ywrought(1)",weak,not in list
iwinnen,iwinnen,,ywonne(5),strong,known strong verb
japen,japen,japed(1),"japed(1), yjaped(1)",weak,classified by morphological evidence
joinen,joinen,joined(1),joined(2),weak,classified by morphological evidence (check!)
jugen,jugen,,juged(1),weak,classified by morphological evidence
kemben,kemben,"kembde(1), kembed(1)","kembd(3), kempt(1)",weak,classified by morphological evidence
kennen,kennen,,kende(1),weak,Seems weak
kepen,kepen,kepte(26),kept(14),weak,classified by morphological evidence
kerven,kerven,carf(4),"corven(2), corve(1)",strong,known strong verb
