headword,word,line_number,filename,context,is_elided,is_final,text_type,oxford_context,riverside_context
god,gode,House of Fame 1608,data/oxford_txts/HF_oxford.txt,"Of gode folk, and gunne crie",False,False,BOTH,"Of gode folk, and gunne crie",Of goode folk and gunne crie
god,goode,Book of the Duchess 560,data/oxford_txts/BD_oxford.txt,"“Graunt mercy, goode frend,” quod he",False,False,BOTH,"“Graunt mercy, goode frend,” quod he",Graunt mercy goode frend quod he
muche,moche,House of Fame 147,data/oxford_txts/HF_oxford.txt,"In Itaile, with ful moche pine,°",False,False,BOTH,"In Itaile, with ful moche pine,°",In Itayle with ful moche pyne
long,longe,House of Fame 1484,data/oxford_txts/HF_oxford.txt,That bore hath up a longe while,False,False,BOTH,That bore hath up a longe while,That bore hath up a longe while
whit,white,House of Fame 2116,data/oxford_txts/HF_oxford.txt,"As dooth the faire, white mone",False,False,BOTH,"As dooth the faire, white mone",As doth the faire white mone
god,gode,Troilus and Criseyde; Book III 264,data/oxford_txts/TC3_oxford.txt,"But gode brother, do now as thee oughte",False,False,BOTH,"But gode brother, do now as thee oughte",But goode brother do now as the oughte
neue,newe,Troilus and Criseyde; Book I 157,data/oxford_txts/TC1_oxford.txt,"With newe grene, of lusty Ver the prime",False,False,BOTH,"With newe grene, of lusty Ver the prime",With newe grene of lusty Veer the pryme
gret,grete,Troilus and Criseyde; Book III 992,data/oxford_txts/TC3_oxford.txt,"Your grete trouthe, and servise every day",False,False,BOTH,"Your grete trouthe, and servise every day",Youre grete trouthe and servise every day
long,longe,Book of the Duchess 79,data/oxford_txts/BD_oxford.txt,"Hom, for it was a longe terme.",False,False,BOTH,"Hom, for it was a longe terme.",Hom for it was a longe terme
fals,false,The Pardoner's Tale 759,data/oxford_txts/PardT_oxford.txt,"To sleen us yonge folk, thou false theef!”°",False,False,BOTH,"To sleen us yonge folk, thou false theef!”°",To sleen us yonge folk thou false theef
