Tag,Ending,Count,Percent
pron_gram_adj,vowel,6,1.45%
pron_gram_adj,-e,49,11.81%
adj#n%sup,-e,67,97.10%
adj#n%sup,-t,2,2.90%
interj#n,other,11,100.00%
v%pt__neg,-e,65,52.00%
v%pt__neg,other,59,47.20%
v%pt__neg,vowel,1,0.80%
pron%pl_obj,other,1307,98.42%
pron%pl_obj,vowel,14,1.05%
pron%pl_obj,-e,6,0.45%
pron%pl_obj,-t,1,0.08%
v%imp,other,220,23.11%
v%imp,-e,300,31.51%
v%imp,-eth,191,20.06%
v%imp,-t,130,13.66%
v%imp,vowel,69,7.25%
v%imp,-d,32,3.36%
v%imp,-ed,9,0.95%
v%imp,-en,1,0.11%
v%pr__neg,-t,34,23.29%
v%pr__neg,other,111,76.03%
v%pr__neg,-e,1,0.68%
num_n,-e,70,76.92%
num_n,vowel,14,15.38%
num_n,-en,3,3.30%
num_n,-d,2,2.20%
num_n,-t,1,1.10%
num_n,-ed,1,1.10%
gram_adjas_n,other,196,92.02%
gram_adjas_n,-e,15,7.04%
gram_adjas_n,-t,1,0.47%
gram_adjas_n,-en,1,0.47%
v#adj%ppl,-ed,79,57.66%
v#adj%ppl,other,7,5.11%
v#adj%ppl,-e,24,17.52%
v#adj%ppl,-t,12,8.76%
v#adj%ppl,-en,10,7.30%
v#adj%ppl,-d,5,3.65%
ppl,-ed,18,78.26%
ppl,-t,2,8.70%
ppl,-d,3,13.04%
adj%sup,-t,30,22.22%
adj%sup,-e,105,77.78%
dash,-d,17,16.67%
dash,vowel,21,20.59%
dash,-e,14,13.73%
dash,other,36,35.29%
dash,-t,11,10.78%
dash,-ed,3,2.94%
adv%sup,-t,118,90.08%
adv%sup,-e,12,9.16%
adv%sup,other,1,0.76%
v&%inf,-en,2,40.00%
v&%inf,-e,3,60.00%
adj#n%pl,-e,4,100.00%
adv#interj,other,7,77.78%
adv#interj,vowel,2,22.22%
adj#prep,other,1,100.00%
adv&adj,-e,20,83.33%
adv&adj,other,4,16.67%
lat_pron,vowel,2,50.00%
lat_pron,-e,1,25.00%
lat_pron,other,1,25.00%
v%prp,-e,10,83.33%
v%prp,other,2,16.67%
pron%pl,-e,8,24.24%
pron%pl,other,12,36.36%
pron%pl,vowel,11,33.33%
pron%pl,-en,2,6.06%
num_conj,-e,66,94.29%
num_conj,other,4,5.71%
ppl#adj_n,-ed,1,100.00%
adj#n,other,15,34.09%
adj#n,-e,26,59.09%
adj#n,-t,2,4.55%
adj#n,-en,1,2.27%
adjas_n%sup,-t,12,21.43%
adjas_n%sup,-e,44,78.57%
pron%gen_abs,other,8,80.00%
pron%gen_abs,-e,2,20.00%
pron_impers,-en,11,100.00%
prp#adj,other,2,33.33%
prp#adj,-e,4,66.67%
advas_adj,-e,36,100.00%
adv#conj,-en,1,100.00%
ger%pl,other,22,100.00%
pron%indef,-e,15,100.00%
lat_prep,other,2,50.00%
lat_prep,-d,1,25.00%
lat_prep,-e,1,25.00%
lat_adv,other,1,100.00%
n%pl_gen,other,7,100.00%
fr_pron,-e,2,33.33%
fr_pron,other,3,50.00%
fr_pron,vowel,1,16.67%
fr_v,other,2,100.00%
fr_prep,other,1,100.00%
fr_n,-e,1,100.00%
prep#conj,-e,7,100.00%
v%pt_pl_neg,-en,1,16.67%
v%pt_pl_neg,-e,5,83.33%
lat_v,-t,2,66.67%
lat_v,vowel,1,33.33%
v%pt__pron,vowel,1,7.69%
v%pt__pron,other,12,92.31%
v#adj%prp,-e,18,62.07%
v#adj%prp,other,10,34.48%
v#adj%prp,-t,1,3.45%
adj#adv,other,4,80.00%
adj#adv,-e,1,20.00%
adj&adv,-e,5,71.43%
adj&adv,-t,2,28.57%
n#propn%pl,other,3,100.00%
pron_adj,-e,11,50.00%
pron_adj,other,11,50.00%
adj%pl,other,5,100.00%
v%pr__neg_pron,other,5,100.00%
adv_abs,other,1,100.00%
ppl_abs,-ed,9,75.00%
ppl_abs,-d,1,8.33%
ppl_abs,-t,2,16.67%
n#propn_interj,other,1,50.00%
n#propn_interj,-e,1,50.00%
pron%fem_obj_indef,-e,1,100.00%
adjas_n,-e,3,75.00%
adjas_n,-d,1,25.00%
v%imp_,-e,1,100.00%
n#interj,other,8,88.89%
n#interj,vowel,1,11.11%
ger#adj,other,1,33.33%
ger#adj,-e,2,66.67%
adj#n_propn,-e,1,100.00%
v#adj%ppl_n,-ed,1,100.00%
adj#adv%sup,-t,1,100.00%
adv#n,-e,2,66.67%
adv#n,other,1,33.33%
n#propn_adj,-d,1,20.00%
n#propn_adj,-e,4,80.00%
interj&,other,4,100.00%
pron%neut_gen,other,1,100.00%
ger#propn%pl,other,1,100.00%
n#adj%pl,other,2,100.00%
n#adv,-t,5,100.00%
n%sup,-e,1,100.00%
pron%contr,other,2,100.00%
v%pr_pl_neg,other,3,100.00%
adv#prep,other,1,100.00%
lat_n#propn,other,1,100.00%
num_n%gen,other,1,100.00%
v&%pr_,-eth,2,100.00%
v#adv%prp,other,1,100.00%
adj&advas_n%comp,-t,1,100.00%
fr_adv,vowel,1,100.00%
pron%fem_obj_adj,-e,1,100.00%
