LINE_NUMBER,OG_OXFORD_TEXT,OXFORD_TAGGING,OXFORD_SCANSION
Troilus and Criseyde; Book IV 1,"But al to litel, weylawey the while",but@conj al@adv to@adv2 litel@adv weilawai@interj the@def_art whil@n,u S u Su SuS u Sx
Troilus and Criseyde; Book IV 2,"Lasteth swich joye, ythonked be Fortune!",lasten@v1%pr_3 swich@gram_adj joie@n thanken@v%ppl ben@v%pr_3 fortune@n#propn,uS u Su Sux S uSx
Troilus and Criseyde; Book IV 3,"That semeth trewest, whan she wol bigile",that@pron semen@v2%pr_3 treu@adj%sup whan@adv&conj she@pron%nom willen@v%pr_3 bigilen@v%inf,u Su Su S u S uSx
Troilus and Criseyde; Book IV 4,And can to foles so hir song entune,and@conj connen@v%pr_3 to@prep fol@n%pl so@adv hire@pron1%fem_gen song@n entunen@v%inf,u S u Su S u S uSx
Troilus and Criseyde; Book IV 5,"That she hem hent and blent, traitour comune;",that@conj she@pron%nom hem@pron%pl_obj henten@v%pr_3 and@conj blenden@v1%pr_3 traitour@n commune@adj,u S u S u S uS uSx
Troilus and Criseyde; Book IV 6,And whan a wight is from hir wheel ythrowe,and@conj whan@adv&conj a@indef_art wight@n ben@v%pr_3 from@prep hire@pron1%fem_gen whel@n throuen@v1%ppl,u S u S u S u S uSx
Troilus and Criseyde; Book IV 7,"Than laugheth she, and maketh him the mowe.",thanne@adv laughen@v%pr_3 she@pron%nom and@conj maken@v1%pr_3 him@pron%obj the@def_art moue@n2,u Su S u Su S u Sx
Troilus and Criseyde; Book IV 8,From Troilus she gan hir brighte face,from@prep troilus@n#propn she@pron%nom ginnen@v%pt_3 hire@pron1%fem_gen bright@adj face@n,u SuS u S u Su Sx
Troilus and Criseyde; Book IV 9,"Awey to writhe, and took of him non hede",awei@adv to@part writhen@v%inf and@conj taken@v%pt_3 of@prep him@pron%obj non@gram_adj hed@n2,uS u Sx u S u S u Sx
Troilus and Criseyde; Book IV 10,But caste him clene oute of his lady grace,but@conj casten@v%pt_3 him@pron%obj clene@adv oute@adv#prep of@prep his@pron1%gen ladie@n%gen grace@n,u Sx u Sx ux S u Su Sx
Troilus and Criseyde; Book IV 11,And on hir wheel she sette up Diomede;,and@conj on@prep hire@pron1%fem_gen whel@n she@pron%nom setten@v%pt_3 up@adv diomede@n#propn,u S u S u Sx u SuSx
Troilus and Criseyde; Book IV 12,For which right now min herte ginneth blede,for@prep which@pron righte@adv nou@adv min@pron%gen herte@n ginnen@v%pr_3 bleden@v%inf,u S u S u Su Su Sx
Troilus and Criseyde; Book IV 13,"And now my penne, allas! with which I write",and@conj nou@adv min@pron%gen penne@n alas@interj with@prep which@pron ich@pron%nom writen@v%pr_1,u S u Sx uS u S u Sx
Troilus and Criseyde; Book IV 14,Quaketh for drede of that I moot endite.,quaken@v%pr_3 for@prep drede@n of@prep that@pron ich@pron%nom moten@v2%pt_1 enditen@v%inf,uS u Sx u S u S uSx
Troilus and Criseyde; Book IV 15,For how Criseyde Troilus forsook,for@conj hou@adv&conj criseyde@n#propn troilus@n#propn forsaken@v%pt_3 --@dash,u S uSu SuS uS
Troilus and Criseyde; Book IV 16,"Or at the leste, how that she was unkinde",or@conj at@prep the@def_art leste@adj1#n%sup hou@adv&conj that@part she@pron%nom ben@v%pt_3 unkinde@adj --@dash,u S u Sx u S u S uSx
Troilus and Criseyde; Book IV 17,Mot hennesforth ben matere of my book,moten@v2%pr_3 hennes-forth@adv ben@v%inf matere@n of@prep min@pron%gen bok@n1,u SuS u Sux S u S
Troilus and Criseyde; Book IV 18,As writen folk thorugh which it is in minde.,as@conj writen@v%pr_pl folk@n thurgh@prep which@pron hit@pron ben@v%pr_3 in@prep minde@n1,u Su S u S u S u Sx
Troilus and Criseyde; Book IV 19,Allas! that they shulde ever cause finde,alas@interj that@conj thei@pron%pl_nom shulen@v1%pt_pl ever@adv cause@n finden@v%inf,uS u S ux Su Su Sx
Troilus and Criseyde; Book IV 20,To speke hir harm; and if they on hir lie,to@part speken@v%inf hire@pron2%fem_obj harm@n and@conj if@conj thei@pron%pl_nom on@prep hire@pron2%fem_obj lien@v2%pr_pl,u Sx u S u S u S u S
Troilus and Criseyde; Book IV 21,"Ywis, hemself sholde han the vilanie.",iwis@adv hem-self@pron%pl shulen@v1%pt_pl haven@v%inf the@def_art vileinie@n,uS uS ux S u SuS
Troilus and Criseyde; Book IV 22,"O ye Herines, Nightes doughtren three",o@interj ye@pron%pl_nom herenes@n#propn%pl night@n%gen doughter@n%pl thre@num_adj,u S uSu Su Su S
Troilus and Criseyde; Book IV 23,That endelees compleinen ever in pine,that@pron endeles@adv compleinen@v%inf ever@adv in@prep pine@n1,u SuS uSu S u Sx
Troilus and Criseyde; Book IV 24,"Megera, Alete, and eek Thesiphone;",megera@n#propn alete@n#propn and@conj ek@adv thesiphone@n#propn,uSu Sux S u SuSx
Troilus and Criseyde; Book IV 25,"Thou cruel Mars eek, fader to Quirine",thou@pron%nom cruel@adj mars@n#propn ek@adv fader@n to@prep quirine@n#propn,u Su S u Su S uSx
Troilus and Criseyde; Book IV 26,This ilke ferthe book me helpeth fine,this@gram_adj ilke@pron_gram_adj ferthe@num_adj bok@n1 me@pron2%obj helpen@v%pr_3 finen@v1%inf,u Su Su S u Su Sx
Troilus and Criseyde; Book IV 27,So that the los of lif and love yfere,so@adv that@conj the@def_art los@n1 of@prep lif@n and@conj love@n1 ifere@adv,u S u S u S u Sx uSx
Troilus and Criseyde; Book IV 28,Of Troilus be fully shewed here.,of@prep troilus@n#propn ben@v%pr_3 fulli@adv sheuen@v1%ppl her@adv,u SuS u Su Su Sx
Troilus and Criseyde; Book IV 29,"Ligginge in ost, as I have seid er this",lien@v1%prp_abs in@prep hoste@n1 as@conj ich@pron%nom haven@v%pr_1 seien@v1%ppl er@prep this@pron,uSx u S u S ux S u S
Troilus and Criseyde; Book IV 30,"The Grekes stronge, aboute Troye toun",the@def_art grek@n%pl strong@adj abouten@prep troie@n1#propn_adj toun@n,u Su Sx uSu Su S
Troilus and Criseyde; Book IV 31,"Bifel that, whan that Phebus shining is",bifallen@v%pt_3 that@conj whan@adv&conj that@part phebus@n#propn shinen@v%prp ben@v%pr_3,uS u S u Su Su S
Troilus and Criseyde; Book IV 32,Upon the brest of Hercules Lioun,upon@prep the@def_art brest@n1 of@prep hercules@n#propn%gen lioun@n1,uS u S u SuS uS
Troilus and Criseyde; Book IV 33,"That Ector, with ful many a bold baroun",that@conj ector@n#propn with@prep ful@adv mani@gram_adj a@indef_art bold@adj baroun@n,u Su S u Sx u S uS
Troilus and Criseyde; Book IV 34,Caste on a day with Grekes for to fighte,casten@v%pt_3 on@prep a@indef_art dai@n with@prep grek@n%pl for@prep#adv to@part fighten@v%inf,ux S u S u Su S u Sx
Troilus and Criseyde; Book IV 35,As he was wont to greve hem what he mighte.,as@conj he@pron1%nom ben@v%pt_3 wonen@v1%ppl to@part greven@v%inf hem@pron%pl_obj what@adv he@pron1%nom mouen@v3%pt_3,u S u S u Sx u S u Sx
Troilus and Criseyde; Book IV 36,Not I how longe or short it was bitwene,witen@v1%pr_1_neg ich@pron%nom hou@adv&conj longe@adv or@conj short@adj hit@pron ben@v%pt_3 bitwene@adv,u S u Sx u S u S uSx
Troilus and Criseyde; Book IV 37,This purpos and that day they fighten mente;,this@gram_adj purpos@n and@conj that@art&gram_adj dai@n thei@pron%pl_nom fighten@v%inf menen@v1%pt_pl,u Su S u S u Su Sx
