LINE_NUMBER,OG_OXFORD_TEXT,OXFORD_TAGGING,OXFORD_SCANSION
Troilus and Criseyde; Book V 1,Aprochen gan the fatal destinee,approchen@v%inf ginnen@v%pt_3 the@def_art fatal@adj destine@n,uSu S u Su SuS
Troilus and Criseyde; Book V 2,That Joves hath in disposicioun,that@pron jove@n#propn haven@v%pr_3 in@prep disposicioun@n,u Su S u SuSuS
Troilus and Criseyde; Book V 3,"And to yow, angry Parcas, sustren three",and@conj to@prep you@pron%pl_obj angri@adj parcas@n#propn%pl suster@n%pl thre@num_adj,u S u Su Su Su S
Troilus and Criseyde; Book V 4,"Committeth, to don execucioun;",committen@v%pr_3 to@part don@v1%inf execucioun@n,uSu S u SuSuS
Troilus and Criseyde; Book V 5,For which Criseyde moste out of the toun,for@prep which@pron criseyde@n#propn moten@v2%pt_3 oute@adv#prep of@prep the@def_art toun@n,u S uSu Sx u S u S
Troilus and Criseyde; Book V 6,And Troilus shal dwelle forth in pine,and@conj troilus@n#propn shulen@v1%pr_3 dwellen@v%inf forth@adv in@prep pine@n1,u SuS u Su S u Sx
Troilus and Criseyde; Book V 7,Til Lachesis his threed no lenger twine.—,til@conj lachesis@n#propn his@pron1%gen threde@n no@adv lengere@adv%comp twinen@v%pr_3,u SuS u S u Su Sx
Troilus and Criseyde; Book V 8,The golden-tressed Phebus heighe on lofte,the@def_art gold-tressed@adj phebus@n#propn heighe@adv on@prep lofte@n,u SuSu Su Sx u Sx
Troilus and Criseyde; Book V 9,Thryës hadde al with his bemes shene,thrice@adv haven@v%pt_3 al@gram_adj with@prep his@pron1%gen bem@n%pl shene@adj,      
Troilus and Criseyde; Book V 10,"The snowes molte, and Zephirus as ofte",the@def_art snou@n%pl melten@v%ppl and@conj zeferus@n as@conj ofte@adv,u Su Sx u SuS u Sx
Troilus and Criseyde; Book V 11,Ybrought ayein the tendre leves grene,ibringen@v%ppl ayen@adv the@def_art tender@adj lef@n1%pl grene@adj,uS uS u Su Su Sx
Troilus and Criseyde; Book V 12,Sin that the sone of Ecuba the quene,sin@conj that@part the@def_art sone@n of@prep ecuba@n#propn the@def_art quene@n2,u S u Sx u SuS u Sx
Troilus and Criseyde; Book V 13,"Bigan to love hir first, for whom his sorwe",biginnen@v%pt_3 to@part loven@v1%inf hire@pron2%fem_obj first@adv for@prep whom@pron%obj his@pron1%gen sorwe@n,uS u Sx u S u S u Sx
Troilus and Criseyde; Book V 14,"Was al, that she departe sholde amorwe.",ben@v%pt_3 al@gram_adjas_n that@conj she@pron%nom departen@v%inf shulen@v1%pt_3 amorwen@adv,u S u S uSu Sx uSx
Troilus and Criseyde; Book V 15,Ful redy was at prime Diomede,ful@adv redi@adj3 ben@v%pt_3 at@prep prime@n diomede@n#propn,u Su S u Su SuSx
Troilus and Criseyde; Book V 16,Criseyde unto the Grekes ost to lede,criseyde@n#propn unto@prep the@def_art grek@n%gen hoste@n1 to@part leden@v1%inf,uSx uS u Su S u Sx
Troilus and Criseyde; Book V 17,For sorwe of which she felte hir herte blede,for@prep sorwe@n of@prep which@pron she@pron%nom felen@v1%pt_3 hire@pron1%fem_gen herte@n bleden@v%inf,u Sx u S u Sx u Su Sx
Troilus and Criseyde; Book V 18,As she that niste what was best to rede.,as@conj she@pron%nom that@pron witen@v1%pt_3_neg what@pron ben@v%pt_3 best@adjas_n%sup to@part red@n1,u S u Su S u S u Sx
Troilus and Criseyde; Book V 19,"And trewely, as men in bokes rede",and@conj treuli@adv as@conj man@n%pl in@prep bok@n1%pl reden@v1%pr_pl,u SuS u S u Su Sx
Troilus and Criseyde; Book V 20,Men wiste never womman han the care,man@n%pl witen@v1%pt_pl never@adv womman@n haven@v%inf the@def_art care@n1,u Su Su Su S u Sx
