LINE_NUMBER,OG_OXFORD_TEXT,OXFORD_TAGGING,OXFORD_SCANSION
Troilus and Criseyde; Book III 1,"O blisful light, of which the bemes clere",o@interj blisful@adj light@n of@prep which@pron the@def_art bem@n%pl cler@adj,u Su S u S u Su Sx
Troilus and Criseyde; Book III 2,Adorneth al the thridde hevene faire!,adournen@v%pr_3 al@gram_adj the@def_art thrid@num_adj heven@n fair@adj,uSu S u Sx uSu Sx
Troilus and Criseyde; Book III 3,"O sonnes leef, O Joves doughter dere",o@interj sonne@n%gen lef@n2 o@interj jove@n#propn%gen doughter@n dere@adj1,u Su S u Su Su Sx
Troilus and Criseyde; Book III 4,"Plesaunce of love, O goodly debonaire",plesaunce@n1 of@prep love@n1 o@interj godli@adj2 debonaire@n,uSx u Sx u Su SuSx
Troilus and Criseyde; Book III 5,In gentil hertes ay redy to repaire!,in@prep gentil@adj herte@n%pl ai@adv redi@adj3 to@part repairen@v%inf,u Su Su S xu S uSx
Troilus and Criseyde; Book III 6,O verray cause of hele and of gladnesse,o@interj verrei@adj cause@n of@prep hele@n1 and@conj of@prep gladnesse@n,u Su Sx u Sx u S uSx
Troilus and Criseyde; Book III 7,Yheried be thy might and thy goodnesse!,herien@v1%ppl ben@v%pr_3 thin@pron%gen might@n and@conj thin@pron%gen godnesse@n2,uxSu S u S u S uSx
Troilus and Criseyde; Book III 8,"In hevene and helle, in erthe and salte see",in@prep heven@n and@conj helle@n in@prep erthe@n1 and@conj salt@adj se@n1,u Sux S ux S ux S ux S
Troilus and Criseyde; Book III 9,"Is felt thy might, if that I wel descerne;",ben@v%pr_3 felen@v1%ppl thin@pron%gen might@n if@conj that@part ich@pron%nom wel@adv discernen@v%pr_1,u S u S u S u S uSx
Troilus and Criseyde; Book III 10,"As man, brid, best, fishe, herbe and grene tree",as@conj man@n brid@n beste@n fish@n herbe@n and@conj grene@adj tre@n,u S u S ux Sx u Su S
Troilus and Criseyde; Book III 11,Thee fele in times with vapour eterne.,the@pron2%obj felen@v1%pr_pl in@prep time@n%pl with@prep vapour@n eterne@adj,u Sx u Su S uS uSx
Troilus and Criseyde; Book III 12,"God loveth, and to love wol nought werne;",god@n1#propn loven@v1%pr_3 and@conj to@part loven@v1%inf willen@v%pr_3 nought@adv wernen@v%inf,u Su S u Su S u Sx
Troilus and Criseyde; Book III 13,And in this world no lives creature,and@conj in@prep this@gram_adj world@n no@gram_adj lif@n%gen creature@n,u S u S u Su SuSx
Troilus and Criseyde; Book III 14,"Withouten love, is worth, or may endure.",withouten@prep love@n1 ben@v%pr_3 worth@adj or@conj mouen@v3%pr_3 enduren@v%inf,uSu Sx u S u S uSx
Troilus and Criseyde; Book III 15,Ye Joves first to thilke effectes glade,ye@pron%pl_nom jove@n#propn first@adv to@prep thilke@gram_adj effect@n%pl glad@adj,u Su S u Sx uSu Sx
Troilus and Criseyde; Book III 16,Thorugh which that thinges liven alle and be,thurgh@prep which@pron that@pron thing@n%pl liven@v1%pr_pl al@gram_adj and@conj ben@v%pr_pl,uS u S uS ux Sx u S
Troilus and Criseyde; Book III 17,"Comeveden, and amorous him made",commeven@v%pt_pl and@conj amorous@adj him@pron%obj maken@v1%pt_pl,uSuS u SuS u Sx
Troilus and Criseyde; Book III 18,"On mortal thing, and as yow list, ay ye",on@prep mortal@adj thing@n and@conj as@conj you@pron%pl_obj listen@v1%pr_3 ai@adv ye@pron%pl_nom,u Su S u S u S u S
Troilus and Criseyde; Book III 19,Yeve him in love ese or adversitee;,yeven@v%pr_pl him@pron%obj in@prep love@n1 ese@n or@conj adversite@n,ux S u Sx ux S uSuS
Troilus and Criseyde; Book III 20,And in a thousand formes doun him sente,and@conj in@prep a@indef_art thousand@num_adj forme@n%pl doun@adv him@pron%obj senden@v2%pt_3,u S u Su Su S u Sx
Troilus and Criseyde; Book III 21,"For love in erthe, and whom yow liste, he hente.",for@prep love@n1 in@prep erthe@n1 and@conj whom@pron%obj you@pron%pl_obj listen@v1%pr_3 he@pron1%nom henten@v%pr_3,u Sx u Sx u S u Sx u Sx
