infinitive,preterite,past_participle,classification,notes
drenchen,"dreint(1), dreinte(1)","dreynt(5), dreint(2), dreinte(1), dreynte(1), drent(1)",weak,not in list
dressen,"dressed(5), dressede(1)",dressed(2),weak,classified by morphological evidence
drinken,"drank(22), dronk(2)","dronken(11), dronke(4)",strong,known strong verb
driven,"droof(8), drof(4)","driven(5), drive(3), dryve(3), dryven(2)",strong,known strong verb
drounen,,drowned(1),weak,classified by morphological evidence (check!)
durren,"dorste(41), durste(10), dorst(4), durst(1)",,weak,not in list
dusken,dusked(2),,weak,classified by morphological evidence
dwellen,"dwelte(12), dwelled(9), duelled(1)","dwelt(4), dwelled(4)",weak,not in list
eilen,"eyled(1), eiled(1)",,weak,classified by morphological evidence
eken,,eched(2),weak,classified by morphological evidence
embosen,,embosed(2),weak,classified by morphological evidence
embracen,,embraced(1),weak,classified by morphological evidence
embrouden,,embrouded(2),weak,classified by morphological evidence
empoisounen,,"empoysoned(2), empoisoned(1)",weak,classified by morphological evidence
emprenten,,"emprented(4), enprented(2)",weak,classified by morphological evidence
enchaunten,,enchanted(2),weak,classified by morphological evidence
enclinen,,"enclined(3), enclyned(3)",weak,classified by morphological evidence
enclosen,,enclosed(4),weak,classified by morphological evidence
encombren,,encombred(2),weak,classified by morphological evidence
encresen,"encresed(1), encresede(1)",encressed(4),weak,classified by morphological evidence
enden,,ended(7),weak,classified by morphological evidence
enduren,endured(2),endured(2),weak,classified by morphological evidence
enfourmen,,enformed(2),weak,classified by morphological evidence
engendren,,"engendred(6), engendered(1)",weak,classified by morphological evidence
enhabiten,,enhabit(2),weak,classified by morphological evidence
enhauncen,,enhaunced(3),weak,classified by morphological evidence
enspiren,,inspired(2),weak,classified by morphological evidence (check!)
entenden,entended(2),,weak,classified by morphological evidence
enterchaungen,,entrechaunged(2),weak,classified by morphological evidence
entitelen,,entitled(1),weak,classified by morphological evidence
entren,,entred(4),weak,classified by morphological evidence
envenimen,,"envenimed(1), envenymed(1)",weak,classified by morphological evidence
envolupen,,envoluped(2),weak,classified by morphological evidence
escapen,,escaped(2),weak,classified by morphological evidence
escheuen,,eschued(1),weak,classified by morphological evidence
esen,,esed(7),weak,classified by morphological evidence
eten,"eet(12), et(1)",eten(5),strong,known strong verb
exciten,excited(2),,weak,classified by morphological evidence
excusen,,excused(2),weak,classified by morphological evidence
executen,,execut(2),weak,classified by morphological evidence
expounen,"expouned(2), expowned(2)",,weak,classified by morphological evidence
failen,"failled(3), failed(1)",,weak,classified by morphological evidence
fallen,"fel(18), fille(7), fil(2), felle(1), fill(1)","falle(12), fallen(9), yfallen(2)",strong,known strong verb
falsen,falsed(2),falsed(4),weak,classified by morphological evidence
faren,"ferde(22), ferd(4)","faren(6), ferd(4), fare(2)",strong,known strong verb
farsen,,farsed(2),weak,classified by morphological evidence
fasten,fasted(6),fast(2),weak,classified by morphological evidence (check!)
faunen,fauned(2),,weak,classified by morphological evidence (check!)
feden,fedde(4),fed(2),weak,classified by morphological evidence
feffen,,feffed(2),weak,classified by morphological evidence
feinen,"feined(4), feyned(3), feynede(1)","feyned(2), feined(1)",weak,classified by morphological evidence
felen,"felte(59), felt(6), felede(1), feelede(1), feled(1)","felt(12), feled(2)",weak,classified by morphological evidence (check!)
fellen,,feld(2),weak,classified by morphological evidence
feteren,fettred(2),fetered(2),weak,classified by morphological evidence
fetheren,fethered(2),,weak,classified by morphological evidence (check!)
fetten,fette(5),fet(6),weak,classified by morphological evidence
fighten,faught(10),foughten(2),strong,known strong verb
fillen,,"fild(2), filled(2)",weak,classified by morphological evidence
finden,"fond(67), foond(22), found(6), fonde(2), founde(2)","founde(34), founden(17), fond(2), found(2), fonden(1)",strong,known strong verb
fishen,,fisshed(2),weak,classified by morphological evidence
flateren,,yflatered(2),weak,classified by morphological evidence (check!)
flen,fledde(4),"fled(12), yfled(2)",weak,classified by morphological evidence (check!)
flien,"fleigh(4), fley(2), flygh(1), flough(1), flaugh(1)",flowen(2),strong,known strong verb
flikeren,flikered(1),,weak,classified by morphological evidence
flouren,floured(2),,weak,classified by morphological evidence (check!)
folwen,"folwed(9), folwede(3), folowede(1), folowed(1), folewed(1)",yfolowed(2),weak,classified by morphological evidence
forbeden,forbad(4),forbode(2),weak,not in list
forberen,forbar(3),,strong,known
fordon,,"fordoon(2), fordon(1)",strong / irregular,"Don is generally irregular, but this form seems strong"
fore-witen,"forwoot(4), forwot(3)",,weak,classified by morphological evidence
forgon,,forgon(2),strong,not in list
forgonen,foryede(2),,weak / irregular,"Gon is generally irregular, but this form seems weak"
formen,"formed(4), formede(1)","yformed(5), formed(3), ifourmed(1)",weak,classified by morphological evidence
forsaken,"forsook(8), forsok(1)",forsaken(2),strong,Known from skeat
forshapen,,forshapen(2),strong,Shapen is strong
forsweren,forswor(2),,strong,known strong verb
forwrappen,,forwrapped(2),weak,classified by morphological evidence
foryeten,"forgat(13), forgate(1), foryat(1)","foryeten(6), forgeten(5), forgete(1)",strong,known strong verb
foryeven,foryaf(5),foryeven(2),strong,Known strong verb
fostren,fostred(4),"fostred(11), yfostred(4)",weak,classified by morphological evidence
founden,,founded(3),weak,classified by morphological evidence (check!)
foundren,foundred(2),,weak,classified by morphological evidence (check!)
freten,,"freten(1), freeten(1)",strong,known strong verb (check!)
ful-fillen,,"fulfild(9), fulfilled(2)",weak,classified by morphological evidence
gaderen,"gadered(2), gadrede(1)",gadered(1),weak,classified by morphological evidence
gamen,gamed(2),,weak,classified by morphological evidence
gasen,gazed(2),,weak,classified by morphological evidence
geten,gat(2),"geten(6), gete(2), ygeten(1)",strong,known strong verb (check!)
giden,,gided(1),weak,classified by morphological evidence
ginnen,"gan(198), gonne(1)",,Irregular / unclear,"Very stumped here, seems maybe irregular"
gladen,"gladded(3), gladed(3), gladede(2)",gladed(1),weak,classified by morphological evidence
gliteren,"glitered(1), glytered(1)",,weak,classified by morphological evidence
gnauen,gnow(1),,strong,Known strong verb
gon,,"goon(26), gon(8), go(5), gane(1), geen(1), goo(1)",Irregular verb,Known irregular
governen,governed(4),governed(3),weak,classified by morphological evidence
graunten,"graunted(22), grauntede(1)","graunted(16), ygraunted(2)",weak,classified by morphological evidence
graven,,grave(6),strong,known strong verb (check!)
greten,grette(2),,weak,classified by morphological evidence (check!)
greven,greved(2),,weak,classified by morphological evidence
grinden,"grinte(1), grynte(1)",grounden(2),unclear,mixed or insufficient evidence (check!)
gropen,groped(2),,weak,classified by morphological evidence
grouen,"grew(2), growed(2)","growe(2), growen(2), ygrowen(2)",strong,known strong verb
grounden,,grounded(2),weak,classified by morphological evidence
halouen,,yhalowed(2),weak,classified by morphological evidence
halwen,halwed(2),halwed(2),weak,classified by morphological evidence
hamelen,,hameled(2),weak,classified by morphological evidence
happen,"happed(21), happede(3)",,weak,classified by morphological evidence (check!)
harden,,yharded(2),weak,classified by morphological evidence
haten,hated(2),yhated(2),weak,classified by morphological evidence
haven,"hadde(740), had(407)","had(48), hadde(1)",weak,not in list
helen,,"heled(7), heeled(5)",weak,classified by morphological evidence (check!)
helmen,,helmed(4),weak,classified by morphological evidence
helpen,"heelp(4), halp(1)","holpen(14), holpe(2)",strong,known strong verb
henten,"hente(30), hent(2)",hent(10),weak,classified by morphological evidence
heren,"herde(137), herd(11)","herd(135), herde(3)",weak,not in list
herien,harwed(2),"heried(7), yheried(5), heryed(1), iheryed(1), haried(1), haryed(1)",unclear,mixed or insufficient evidence (check!)
herkenen,herkned(6),herkned(2),weak,classified by morphological evidence
heten,"het(1), hette(1)",,strong,known
heven,haaf(1),,weak,Program failed due to spelling difference
hiden,"hidde(9), hydde(1)","hid(11), yhid(2), hyd(1)",weak,not in list
hien,hied(1),hyed(2),weak,classified by morphological evidence
hitten,hitte(5),hit(1),weak,classified by morphological evidence
holden,"held(42), helde(3), heeld(2)","holden(25), holde(10), halde(2)",strong,known strong verb
hongen,"heng(6), heeng(5), henge(2)",hanged(8),strong,known strong verb
honouren,,"honoured(9), honured(3)",weak,classified by morphological evidence
hoten,"highte(18), hight(4), hette(1)","hight(2), hoote(1)",unclear,mixed or insufficient evidence (check!)
hoven,hoved(1),,weak,classified by morphological evidence (check!)
hunten,hunted(4),hunted(4),weak,classified by morphological evidence
hurten,"hurte(4), hurt(2)","hurt(16), yhurt(2)",weak,classified by morphological evidence
iben,,"ybeen(3), iben(1)",strong,classified by morphological evidence
iberen,,"yborn(6), yboren(2), ybore(1), iborn(1)",strong,classified by morphological evidence (check!)
ibringen,,"ybrought(7), ybroght(6), ibrought(3)",weak,classified by morphological evidence
ifinden,,"yfounde(3), founde(1)",strong,classified by morphological evidence
igreten,,ygret(1),weak,classified by morphological evidence
iholden,,"yholde(2), holden(1), yholden(1)",strong,classified by morphological evidence (check!)
ikissen,,ykist(2),weak,classified by morphological evidence
iknouen,,"yknowen(8), yknowe(2)",strong,known strong verb
ileden,,ylad(2),weak,classified by morphological evidence
ileien,,"yleid(1), yleyd(1)",weak,classified by morphological evidence
imaginen,"ymagened(1), imagined(1)",,weak,not in list
imaken,,"ymaked(7), ymaad(4), imaked(1), ymad(1)",weak,classified by morphological evidence
imeten,,ymet(2),weak,classified by morphological evidence (check!)
innen,,inned(1),weak,classified by morphological evidence (check!)
ipassen,,ypassed(2),weak,classified by morphological evidence
ireden,,yred(2),weak,classified by morphological evidence
irennen,,yronnen(2),strong,classified by morphological evidence
isen,,"iseye(1), yseyn(1)",strong,classified by morphological evidence (check!)
isenden,,ysent(2),weak,classified by morphological evidence
isetten,,"yset(2), iset(2)",weak,classified by morphological evidence
ishapen,,yshapen(6),strong,classified by morphological evidence
isheuen,,yshewed(2),weak,classified by morphological evidence
isouen,,ysowen(2),strong,classified by morphological evidence
ispeken,,"yspoken(2), yspoke(2)",strong,classified by morphological evidence
itaken,,ytaken(1),strong,classified by morphological evidence
itechen,,ytaught(1),weak,classified by morphological evidence
iturnen,,yturned(4),weak,classified by morphological evidence
iwaxen,,"ywoxen(4), ywaxen(2)",strong,classified by morphological evidence (check!)
iwerken,,"ywroght(3), ywrought(2), iwrought(2), ywroghte(1)",weak,not in list
iwinnen,,ywonne(4),strong,known strong verb
japen,japed(1),japed(2),weak,classified by morphological evidence
joinen,"joined(1), joyned(1)","joyned(2), joined(1)",weak,classified by morphological evidence (check!)
jugen,,"juged(3), jugged(1)",weak,classified by morphological evidence
kemben,kembde(1),kembd(7),weak,classified by morphological evidence
kennen,,"kende(1), kend(1)",unclear,mixed or insufficient evidence (check!)
kepen,"kepte(25), kept(1)",kept(21),weak,classified by morphological evidence
kerven,"carf(6), karf(1)","corven(4), korven(2)",strong,known strong verb
kiken,,kiked(2),weak,classified by morphological evidence (check!)
kindelen,,"kindled(1), kyndled(1)",weak,classified by morphological evidence (check!)
kissen,kiste(28),"kist(4), kiste(1)",weak,Decided 
kithen,kidde(1),kithed(2),weak,classified by morphological evidence
knelen,kneled(4),,weak,classified by morphological evidence
knitten,,"knyt(6), knit(5)",weak,classified by morphological evidence
knokken,knokked(3),,weak,classified by morphological evidence
knouen,"knew(148), knewe(12)","knowen(20), knowe(5), know(1)",strong,known strong verb
labouren,laboured(2),laboured(3),weak,classified by morphological evidence
lakken,"lakked(15), lakkede(4)",,weak,classified by morphological evidence
lasen,,laced(2),weak,classified by morphological evidence
lasten,lasted(2),,weak,classified by morphological evidence (check!)
laughen,lough(15),lawghed(1),strong,known strong verb
leden,"ladde(15), ledde(3), lad(1)","lad(11), led(4)",unclear,mixed or insufficient evidence (check!)
leien,"leyde(23), leide(18), leid(2), laye(1), leye(1)","leyd(7), leid(6), layd(1)",unclear,mixed or insufficient evidence (check!)
lenen,lente(2),,weak,classified by morphological evidence (check!)
lepen,"leep(4), lepte(2)",,weak,classified by morphological evidence
lernen,,lerned(13),weak,classified by morphological evidence
lesen,,"lorn(12), loren(1)",strong,classified by morphological evidence (check!)
leten,"leet(60), let(8), lete(1)","lete(3), leten(1), lat(1)",strong,known strong verb
letten,"letted(4), lette(2)",let(5),weak,classified by morphological evidence
leven,"lefte(19), lafte(6), left(6), laft(1)","left(7), laft(4)",unclear,mixed or insufficient evidence (check!)
lien,"lay(6), leigh(1), ley(1), laye(1), lyede(1), lyed(1)","lein(1), leyn(1)",strong,classified by morphological evidence (check!)
lighten,lighte(2),lighted(1),weak,classified by morphological evidence (check!)
liken,"liked(10), lyked(3), likede(1)",,unclear,mixed or insufficient evidence (check!)
liknen,,likned(2),weak,classified by morphological evidence (check!)
limen,,"ylimed(1), ylymed(1)",weak,classified by morphological evidence (check!)
lissen,,"ylissed(2), lissed(2)",weak,classified by morphological evidence
listen,"liste(15), list(6), leste(3), lyste(2), lyst(1), lest(1)",,weak,classified by morphological evidence (check!)
liven,"lyved(6), lived(4), livede(4), lyvede(2), levede(1)","lived(2), lyved(2), ilyved(1)",unclear,mixed or insufficient evidence (check!)
loggen,,"logged(4), ylogged(2)",weak,classified by morphological evidence
loken,"loked(22), looked(20)","loked(4), looked(1)",weak,classified by morphological evidence (check!)
longen,longed(2),,weak,classified by morphological evidence (check!)
losen,"loste(20), lost(2)","lost(95), ylost(5), loste(1)",unclear,mixed or insufficient evidence (check!)
loven,"loved(81), lovede(17), lovedest(2)","loved(24), yloved(1), iloved(1)",weak,classified by morphological evidence (check!)
lullen,lulled(1),,weak,classified by morphological evidence
lusten,"luste(3), lust(2)",,weak,classified by morphological evidence
maken,"made(279), maked(20), maad(6), maade(1), mad(1)","maad(82), maked(32), mad(22), made(5), maden(1)",unclear,mixed or insufficient evidence (check!)
marien,"maried(1), maryed(1)",,weak,classified by morphological evidence
marken,,"marked(2), ymarked(2)",weak,classified by morphological evidence (check!)
masken,,ymasked(2),weak,classified by morphological evidence
medlen,,"ymedled(1), imedled(1)",weak,classified by morphological evidence
melten,malt(4),molte(6),strong,known strong verb
menen,"mente(12), ment(1)",ment(2),weak,classified by morphological evidence (check!)
meten,"mette(41), met(6)","met(11), mette(1), ymet(1)",unclear,mixed or insufficient evidence (check!)
misaccounten,,misacounted(2),weak,classified by morphological evidence
misbeden,,"misboden(1), mysboden(1)",strong,classified by morphological evidence
misforyeven,mysforyaf(1),,weak,not in list
mishappen,,myshapped(1),weak,classified by morphological evidence
misseien,,"missaid(1), myssayd(1), misseid(1), mysseyd(1)",weak,classified by morphological evidence
missen,missed(2),missed(2),weak,classified by morphological evidence (check!)
misspeken,"misspak(1), mysspak(1)",,strong,"Speken is strong, so I think this is too"
mistrusten,,"mistrusted(1), mystrusted(1)",weak,classified by morphological evidence
mortheren,,mordred(14),weak,classified by morphological evidence
moten,"moste(131), most(15), mot(1), mooste(1)",,weak,classified by morphological evidence (check!)
mouen,"mighte(165), myght(24), might(1), myghte(1)",,unclear,mixed or insufficient evidence (check!)
musen,,"ymused(1), imused(1)",weak,classified by morphological evidence
neden,"neded(10), nedede(5)",,weak,classified by morphological evidence (check!)
nemnen,nempned(2),,weak,classified by morphological evidence
nombren,,"nombred(1), noumbred(1)",weak,classified by morphological evidence
norishen,,norissed(1),weak,classified by morphological evidence
obeien,obeyed(6),,weak,classified by morphological evidence
obligen,,obliged(2),weak,classified by morphological evidence
offenden,,offended(2),weak,classified by morphological evidence
onen,,oned(2),weak,classified by morphological evidence
openen,opned(2),"opened(4), opned(2)",weak,classified by morphological evidence
oppressen,,oppressed(6),weak,classified by morphological evidence
ordeinen,,"ordeyned(2), ordeined(1)",weak,classified by morphological evidence
ouen,"oughte(41), oghte(33), ought(7), aughte(3), owghte(1), oght(1)",,weak,classified by morphological evidence
overloken,,overloked(1),weak,classified by morphological evidence
oversheten,,"overshette(1), overshote(1)",strong,classified by morphological evidence
overspreden,overspradde(2),,weak,classified by morphological evidence
overtaken,"overtoke(1), overtok(1)",,strong,Taken is strong
paien,"payde(3), paide(2), payed(1)","payed(4), ypayed(3), paid(2), payd(2), ypaied(1)",weak,classified by morphological evidence
passen,passed(14),passed(31),weak,classified by morphological evidence
peinen,"peined(4), peyned(4)",,weak,classified by morphological evidence
peinten,"peinted(1), peyntede(1), peynted(1)","peynted(13), peinted(11)",weak,classified by morphological evidence
percen,"perced(2), percede(1)",perced(2),weak,classified by morphological evidence
perchen,,perched(2),weak,classified by morphological evidence
performen,parfourned(2),parfourned(8),weak,Definitely weak — the root vowel stays same just varied spelling
picchen,pighte(2),,weak,classified by morphological evidence
piken,,ypiked(2),weak,classified by morphological evidence (check!)
pinchen,,"pinched(1), pynched(1)",weak,classified by morphological evidence
pipen,,piped(1),weak,classified by morphological evidence
pissen,,pissed(2),weak,classified by morphological evidence
planen,planed(2),,weak,classified by morphological evidence (check!)
platen,,plated(2),weak,classified by morphological evidence
plaunten,,planted(4),weak,classified by morphological evidence
pleien,"pleyde(2), pleide(1)","pleyd(4), pleide(1), pleyed(1), played(1), pleid(1)",unclear,mixed or insufficient evidence (check!)
pleinen,"pleined(2), pleyned(2)","ypleined(1), ypleyned(1)",weak,classified by morphological evidence
pleiten,plited(2),,weak,"Program failed here, pretty sure its weak not irregular"
plesen,,plesed(2),weak,classified by morphological evidence
plighten,plighte(2),plight(2),weak,classified by morphological evidence
pointen,,"pointed(1), poynted(1)",weak,classified by morphological evidence (check!)
poken,poked(4),,weak,classified by morphological evidence (check!)
portraien,"purtreied(1), purtreyed(1)",,weak,"Program failed here, pretty sure its weak not irregular"
pouren,poured(2),poured(2),weak,classified by morphological evidence (check!)
prechen,,preched(2),weak,classified by morphological evidence
preien,"preyede(10), preyed(10), preyde(9), preide(8), prayed(3), praid(1), prayede(1), praide(1), preiede(1)","preyed(7), preied(1), prayed(1)",unclear,mixed or insufficient evidence (check!)
preisen,,"preysed(2), ypreised(2), preised(1)",weak,classified by morphological evidence
pressen,pressed(2),,weak,classified by morphological evidence
preven,proved(1),"preved(13), preeved(4), ypreved(2)",weak,not in list
priken,"pryked(1), priked(1)",,weak,Clearly weak
profren,profred(5),profred(1),weak,classified by morphological evidence
pronouncen,,pronounced(2),weak,classified by morphological evidence
proverben,,proverbed(2),weak,classified by morphological evidence
publishen,,"publiced(4), publisshed(1), publysshed(1)",weak,classified by morphological evidence
pullen,pulled(8),ypulled(2),weak,classified by morphological evidence
punishen,,"ypunisshed(1), ypunysshed(1)",weak,classified by morphological evidence
purchasen,purchased(2),,weak,classified by morphological evidence
purgen,,purged(2),weak,classified by morphological evidence (check!)
purveien,,"purveyed(7), purveied(6), purveyd(1)",weak,classified by morphological evidence
putten,"putte(31), put(2)","put(29), yput(5), pit(1)",weak,classified by morphological evidence
quaken,quook(10),,strong,known strong verb
quenchen,"queinte(1), queynte(1)","queint(5), queynt(5)",weak,classified by morphological evidence
quethen,quod(1247),,strong,known strong verb
quiken,"quiked(1), quyked(1)",quyked(1),weak,classified by morphological evidence
quiten,quitte(2),"quit(4), quyt(2)",weak,classified by morphological evidence
raten,,rated(2),weak,classified by morphological evidence (check!)
ravishen,"ravisshed(1), ravysshed(1)","ravisshed(3), ravysshed(3)",weak,classified by morphological evidence
recchen,"roughte(8), roghte(5), rought(1)",,strong,classified by morphological evidence (check!)
receiven,"received(1), receyved(1)","received(5), receyved(3)",weak,classified by morphological evidence
rechasen,,rechased(2),weak,classified by morphological evidence (check!)
rechen,raughte(4),,strong,classified by morphological evidence (check!)
recoveren,,recovered(9),weak,classified by morphological evidence (check!)
reden,"redde(11), radde(5)","red(13), rad(10)",unclear,mixed or insufficient evidence (check!)
refreshen,refresshed(1),refresshed(4),weak,classified by morphological evidence
regnen,regned(1),,weak,classified by morphological evidence
reinen,"ron(2), reined(1), reyned(1)",,unclear,mixed or insufficient evidence (check!)
reisen,,"reised(2), reysed(2)",weak,classified by morphological evidence (check!)
rejoisen,"rejoised(1), rejoysed(1)",,weak,classified by morphological evidence
rekenen,rekned(1),yrekened(3),weak,classified by morphological evidence
relesen,relessed(2),,weak,classified by morphological evidence (check!)
releven,,"releved(1), releeved(1)",weak,classified by morphological evidence
remembren,remembred(6),,weak,classified by morphological evidence
renden,rente(14),rent(3),weak,classified by morphological evidence (check!)
rennen,ran(24),,strong,known strong verb (check!)
repenten,repented(2),,weak,classified by morphological evidence
repressen,,repressed(2),weak,classified by morphological evidence
requeren,required(2),,weak,classified by morphological evidence
resounen,resouned(2),,weak,classified by morphological evidence (check!)
resten,,rested(2),weak,classified by morphological evidence (check!)
restoren,restored(4),,weak,classified by morphological evidence
returnen,,retourned(1),weak,classified by morphological evidence
reuen,,rewed(2),weak,classified by morphological evidence (check!)
reulen,,"reuled(3), ruled(2)",weak,classified by morphological evidence
reven,"refte(8), rafte(6), raft(1), reft(1)","reft(3), raft(2)",strong,In list as riven
riden,rood(36),riden(12),strong,known strong verb
ringen,rong(10),,strong,classified by morphological evidence (check!)
