file,file_path,text_type,line_number,filename,headword,tag,word,context,full_tagging
PrT_gui.csv,data/csvs/PrT_gui.csv,OXFORD,The Prioress' Tale 530,data/oxford_txts/PrT_oxford.txt,than,conj,than,His felaw which that elder was than he,his@pron1%gen felaue@n which@pron that@pron olde@adj%comp ben@v%pt_3 than@conj he@pron1%nom
PrT_gui.csv,data/csvs/PrT_gui.csv,RIVERSIDE,The Prioress' Tale 530,data/riverside_cats/PrT_riv.cat,than,conj,than,His felawe which that elder was than he,his@pron1%gen felaue@n which@pron that@pron olde@adj%comp ben@v%pt_3 than@conj he@pron1%nom
PrT_gui.csv,data/csvs/PrT_gui.csv,OXFORD,The Prioress' Tale 546,data/oxford_txts/PrT_oxford.txt,thanne,adv,thanne,And thanne he song it wel and boldely,and@conj thanne@adv he@pron1%nom singen@v%pt_3 hit@pron wel@adv and@conj boldeliche@adv
PrT_gui.csv,data/csvs/PrT_gui.csv,RIVERSIDE,The Prioress' Tale 546,data/riverside_cats/PrT_riv.cat,thanne,adv,thanne,And thanne he song it wel and boldely,and@conj thanne@adv he@pron1%nom singen@v%pt_3 hit@pron wel@adv and@conj boldeliche@adv
PrT_gui.csv,data/csvs/PrT_gui.csv,OXFORD,The Prioress' Tale 553,data/oxford_txts/PrT_oxford.txt,thanne,adv,than,Ful murily than wolde he singe and crye,ful@adv mirili@adv thanne@adv willen@v%pt_3 he@pron1%nom singen@v%inf and@conj crien@v%inf
PrT_gui.csv,data/csvs/PrT_gui.csv,RIVERSIDE,The Prioress' Tale 553,data/riverside_cats/PrT_riv.cat,thanne,adv,than,Ful murily than wolde he synge and crie,ful@adv mirili@adv thanne@adv willen@v%pt_3 he@pron1%nom singen@v%inf and@conj crien@v%inf
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 123,data/oxford_txts/TC2_oxford.txt,thanne,adv,than,For Goddes love is than the assege aweye,for@prep god@n1#propn%gen love@n1 ben@v%pr_3 thanne@adv the@def_art assege@n awei@adv
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 123,data/riverside_cats/TC2_riv.cat,thanne,adv,than,For Goddes love is than th assege aweye,for@prep god@n1#propn%gen love@n1 ben@v%pr_3 thanne@adv the@def_art assege@n awei@adv
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 126,data/oxford_txts/TC2_oxford.txt,than,conj,than,It is a thing wel bet than swiche five,hit@pron ben@v%pr_3 a@indef_art thing@n wel@adv bet@adj%comp than@conj swich@gram_adj five@num_n
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 126,data/riverside_cats/TC2_riv.cat,than,conj,than,It is a thing wel bet than swyche fyve,hit@pron ben@v%pr_3 a@indef_art thing@n wel@adv bet@adj%comp than@conj swich@gram_adj five@num_n
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 128,data/oxford_txts/TC2_oxford.txt,than,conj,than,What bet than swiche five Ey nay ywis,what@interj bet@adj%comp than@conj swich@gram_adj five@num_n ei@interj nai@interj iwis@adv
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 128,data/riverside_cats/TC2_riv.cat,than,conj,than,What Bet than swyche fyve I Nay ywys,what@interj bet@adj%comp than@conj swich@gram_adj five@num_n ei@interj nai@interj iwis@adv
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 141,data/oxford_txts/TC2_oxford.txt,than,conj,than,Tho gan she wondren more than biforn,tho@adv ginnen@v%pt_3 she@pron%nom wondren@v%inf more@adv%comp than@conj biforen@adv
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 141,data/riverside_cats/TC2_riv.cat,than,conj,than,Tho gan she wondren moore than biforn,tho@adv ginnen@v%pt_3 she@pron%nom wondren@v%inf more@adv%comp than@conj biforen@adv
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 178,data/oxford_txts/TC2_oxford.txt,than,conj,than,Than he that is of worthinesse welle,than@conj he@pron1%nom that@pron ben@v%pr_3 of@prep worthinesse@n welle@n
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 178,data/riverside_cats/TC2_riv.cat,than,conj,than,Than he that is of worthynesse welle,than@conj he@pron1%nom that@pron ben@v%pr_3 of@prep worthinesse@n welle@n
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 179,data/oxford_txts/TC2_oxford.txt,than,conj,than,And he wel more vertu hath than might,and@conj he@pron1%nom wel@adv more@adj%comp vertu@n haven@v%pr_3 than@conj might@n
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 179,data/riverside_cats/TC2_riv.cat,than,conj,than,And he wel moore vertu hath than myght,and@conj he@pron1%nom wel@adv more@adj%comp vertu@n haven@v%pr_3 than@conj might@n
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 210,data/oxford_txts/TC2_oxford.txt,thanne,adv,thenne,Nay blame have I min uncle quod she thenne,nai@interj blame@n haven@v%pr_1 ich@pron%nom min@pron%gen uncle@n quethen@v%pt_3 she@pron%nom thanne@adv
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 210,data/riverside_cats/TC2_riv.cat,thanne,adv,thenne,Nay blame have I myn uncle quod she thenne,nai@interj blame@n haven@v%pr_1 ich@pron%nom min@pron%gen uncle@n quethen@v%pt_3 she@pron%nom thanne@adv
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 231,data/oxford_txts/TC2_oxford.txt,than,conj,than,Than seye a sooth that were ayeins your wille,than@conj seien@v1%inf a@indef_art soth@n that@pron ben@v%pt_3 ayenes@prep your@pron%pl_gen wille@n
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 231,data/riverside_cats/TC2_riv.cat,than,conj,than,Than seye a soth that were ayeyns youre wille,than@conj seien@v1%inf a@indef_art soth@n that@pron ben@v%pt_3 ayenes@prep your@pron%pl_gen wille@n
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 267,data/oxford_txts/TC2_oxford.txt,thanne,adv,than,Than thoughte he thus If I my tale endite,thanne@adv thinken@v2%pt_3 he@pron1%nom thus@adv if@conj ich@pron%nom min@pron%gen tale@n enditen@v%pr_1
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 267,data/riverside_cats/TC2_riv.cat,thanne,adv,than,Than thought he thus If I my tale endite,thanne@adv thinken@v2%pt_3 he@pron1%nom thus@adv if@conj ich@pron%nom min@pron%gen tale@n enditen@v%pr_1
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 328,data/oxford_txts/TC2_oxford.txt,thanne,adv,than,Thus giltelees than have ye fisshed faire,thus@adv giltles@adv thanne@adv haven@v%pr_pl ye@pron%pl_nom fishen@v%ppl faire@adv
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 328,data/riverside_cats/TC2_riv.cat,thanne,adv,than,Thus gilteles than have ye fisshed fayre,thus@adv giltles@adv thanne@adv haven@v%pr_pl ye@pron%pl_nom fishen@v%ppl faire@adv
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 340,data/oxford_txts/TC2_oxford.txt,than,conj,no,No more than of a japere or a wrecche,  than@conj of@prep a@indef_art japere@n or@conj a@indef_art wrecche@n
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 340,data/riverside_cats/TC2_riv.cat,than,conj,than,Namoore than of a japer or a wrecche,no_more@adv%comp than@conj of@prep a@indef_art japere@n or@conj a@indef_art wrecche@n --@dash
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 350,data/oxford_txts/TC2_oxford.txt,thanne,adv,than,Than is it harm ye liven by my trouthe,thanne@adv ben@v%pr_3 hit@pron harm@n ye@pron%pl_nom liven@v1%pr_pl bi@prep min@pron%gen treuth@n
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 350,data/riverside_cats/TC2_riv.cat,thanne,adv,than,Than is it harm ye lyven by my trouthe,thanne@adv ben@v%pr_3 hit@pron harm@n ye@pron%pl_nom liven@v1%pr_pl bi@prep min@pron%gen treuth@n
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 353,data/oxford_txts/TC2_oxford.txt,than,conj,than,Were hanged than I sholde been his baude,ben@v%pt_pl hongen@v%ppl than@conj ich@pron%nom shulen@v1%pt_1 ben@v%inf his@pron1%gen baude@n
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 353,data/riverside_cats/TC2_riv.cat,than,conj,than,Were hanged than I sholde ben his baude,ben@v%pt_pl hongen@v%ppl than@conj ich@pron%nom shulen@v1%pt_1 ben@v%inf his@pron1%gen baude@n
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 361,data/oxford_txts/TC2_oxford.txt,than,conj,than,Than ye han doon er this and more feste,than@conj ye@pron%pl_nom haven@v%pr_pl don@v1%ppl er@prep this@pron and@conj more@adj%comp feste@n
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 361,data/riverside_cats/TC2_riv.cat,than,conj,than,Than ye han doon er this and moore feste,than@conj ye@pron%pl_nom haven@v%pr_pl don@v1%ppl er@prep this@pron and@conj more@adj%comp feste@n
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 404,data/oxford_txts/TC2_oxford.txt,thanne,adv,thanne,And send yow thanne a mirour in to pri,and@conj senden@v2%imp you@pron%pl_obj thanne@adv a@indef_art mirour@n in@adv to@part prien@v%inf
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 404,data/riverside_cats/TC2_riv.cat,thanne,adv,than,And sende yow than a myrour in to prye,and@conj senden@v2%imp you@pron%pl_obj thanne@adv a@indef_art mirour@n in@adv to@part prien@v%inf
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 472,data/oxford_txts/TC2_oxford.txt,than,conj,than,In honour than min emes lif to lese,in@prep honour@n than@conj min@pron%gen em@n1%gen lif@n to@part lesen@v4%inf
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 472,data/riverside_cats/TC2_riv.cat,than,conj,than,In honour than myn emes lyf to lese,in@prep honour@n than@conj min@pron%gen em@n1%gen lif@n to@part lesen@v4%inf
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 585,data/oxford_txts/TC2_oxford.txt,thanne,adv,than,Wel in the ring than is the ruby set,wel@adv in@prep the@def_art ring@n thanne@adv ben@v%pr_3 the@def_art rubie@n setten@v%ppl
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 585,data/riverside_cats/TC2_riv.cat,thanne,adv,than,Wel in the ryng than is the ruby set,wel@adv in@prep the@def_art ring@n thanne@adv ben@v%pr_3 the@def_art rubie@n setten@v%ppl
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 810,data/oxford_txts/TC2_oxford.txt,thanne,adv,than,Than slepeth hope and after drede awaketh,thanne@adv slepen@v%pr_3 hope@n1 and@conj after@adv drede@n awaken@v%pr_3
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 810,data/riverside_cats/TC2_riv.cat,thanne,adv,than,Than slepeth hope and after drede awaketh,thanne@adv slepen@v%pr_3 hope@n1 and@conj after@adv drede@n awaken@v%pr_3
TC2_gui.csv,data/csvs/TC2_gui.csv,OXFORD,Troilus and Criseyde; Book II 902,data/oxford_txts/TC2_oxford.txt,than,conj,than,Than it dide erst and sinken in hir herte,than@conj hit@pron don@v1%pt_3 erest@adv%sup and@conj sinken@v%inf in@prep hire@pron1%fem_gen herte@n
TC2_gui.csv,data/csvs/TC2_gui.csv,RIVERSIDE,Troilus and Criseyde; Book II 902,data/riverside_cats/TC2_riv.cat,than,conj,than,Than it dide erst and synken in hire herte,than@conj hit@pron don@v1%pt_3 erest@adv%sup and@conj sinken@v%inf in@prep hire@pron1%fem_gen herte@n
